"","X","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected","percent_det","percent_singles","ratio_zeros"
"32",32,1,30,2,0.380887301696941,0.52672865764565,0.691950943308074,0.32597786529977,0.476994305302401,0.297503801214376,0.33641377371519,0.163769215696158,0.201494529367329,0.300921982805649,0.335866172213408,0.165283510419604,0.200362959872815,0.264683475019084,0.24032686691863,0.128007121629753,0.106589165409114,0.255363089793805,0.249691998742423,0.128454825619021,0.138750149952494,139.157903051444,54.2440501734274,1.21674558531101,0.603901367816917,1098,693,63.1147540983607,7.82742426744984,0.200805054908289
"33",33,1,30,3,0.382580213794928,0.554268161950863,0.672442357156925,0.338166862487953,0.494388050703189,0.331191098886648,0.341334692377873,0.16821729515082,0.213742670657213,0.331662076989711,0.337155277599941,0.168628587622112,0.212254534092788,0.292132849806071,0.237747168143902,0.125351013977235,0.11408321576949,0.270584800053631,0.239037325395179,0.127036907112298,0.14456578894833,191.509795238759,54.2291685557246,1.39633422557191,0.531825847493088,1015,659,64.9261083743842,8.22900888554243,0.290606669558056
"34",34,1,30,4,0.383591060386586,0.557285245426509,0.737485494784175,0.318542825170567,0.497006288622971,0.336130505275531,0.381081607892131,0.192594455965077,0.237610749913558,0.331062788173379,0.377087842537501,0.18961386544983,0.229143266126465,0.290842035027879,0.286561665203238,0.16244920950093,0.139462883933508,0.274794117761987,0.285271479945526,0.148232867929153,0.156905409217017,184.040736486476,70.7239477795432,1.36260513687318,0.627862653750676,1266,816,64.4549763033175,8.66715046317931,0.22554011824323
"35",35,1,30,5,0.384943997904947,0.497448461558515,0.724330831581434,0.329734996546964,0.526651016674046,0.304609843339626,0.365752773358536,0.18915097448108,0.242198200077663,0.301498511113983,0.354872155514671,0.183977437974423,0.230732526669091,0.265244812560906,0.246275940716377,0.143178670127196,0.120882008682511,0.24448232985958,0.254908808902959,0.131608268536694,0.151564174266211,187.87390263496,57.8867638837037,1.42517992266064,0.617720385344059,1049,662,63.1077216396568,8.74422415161687,0.283797436004471
"36",36,1,35,1,0.391930973652595,0.563680383497044,0.826517430545751,0.308357838799897,0.545191462739387,0.311177233978297,0.388429442910608,0.148594008779672,0.199422880682202,0.309234617882598,0.384871993921998,0.151333064856689,0.198606481678411,0.260960716730055,0.255747829281343,0.113491013740029,0.0596014012377356,0.254792730654916,0.278926215447245,0.116993962024586,0.130012885819404,167.135339900125,73.1808377295599,1.46172931448958,0.719106333771798,1065,687,64.5070422535211,10.6522325661659,0.243282881950691
"37",37,1,35,2,0.391667713683032,0.487821142052323,0.721131014908349,0.32955954447672,0.522398505058907,0.307293438504254,0.379252012455013,0.181528378297605,0.235797396815078,0.308552208917982,0.379423693893182,0.179010809217031,0.230930081772299,0.282781686889759,0.298699546260427,0.144053868940093,0.138254893211303,0.262730860755423,0.290559898621864,0.137839287592336,0.163215964667339,184.575736551401,70.9329656846928,1.32879543007318,0.622633134447466,1073,661,61.6029822926375,10.731159710241,0.279237120350077
"38",38,1,35,3,0.393570243218001,0.561517260677621,0.774772457393073,0.355680865672329,0.589008634721742,0.343311962131485,0.379779091007837,0.171342746860799,0.237563233653514,0.340817252532663,0.375097157947933,0.177664207329968,0.240961506181641,0.306357425673549,0.260158939827621,0.130664632265233,0.116629518951806,0.291278256147267,0.271494463319686,0.130801292218271,0.163480591461899,159.467652736494,55.2459621037208,1.51306284275005,0.601231325948541,719,435,60.5006954102921,12.7002211732691,0.366592305141365
"39",39,1,35,4,0.396839323454558,0.506396055028238,0.728314325249398,0.313592836175826,0.486262091140668,0.314164016231209,0.364446366615024,0.173666513182649,0.214290527776918,0.312094688959685,0.361797669562592,0.17313860200581,0.208794885281056,0.279876191695629,0.273766658550776,0.141581365252575,0.114737325707978,0.260077916774212,0.280838277575625,0.133854106869034,0.143872932442727,177.076860572709,42.9178257066358,1.39908786448648,0.68109720761571,1093,743,67.9780420860018,5.77628878958759,0.238326864835409
"40",40,1,35,5,0.393395387714095,0.515826893246524,0.783312150728639,0.329954690233672,0.561114440090473,0.31139258992049,0.338175367143234,0.177127645434624,0.22472218726504,0.305648199454556,0.348686954662685,0.174491092632654,0.219479461692572,0.260998938305512,0.228324000383485,0.137718193262228,0.0943201198760714,0.239691345056251,0.260960114212467,0.134380435800106,0.148259738694166,148.529135459316,64.9016095964351,1.36939557119924,0.674110572898218,885,535,60.4519774011299,12.1311419806421,0.277624552260404
"41",41,1,40,1,0.404281519014093,0.518718811580793,0.705013383423041,0.327980839519752,0.511731149655202,0.331035123244332,0.37042047362172,0.194252050349883,0.244688177782667,0.330256668228477,0.366175252790041,0.196256937361032,0.241661952482419,0.300941420605389,0.279969731277541,0.175479291396468,0.159706223523514,0.277102547579742,0.274630792006062,0.165153213696776,0.171843336440465,188.093129801339,62.0672467577734,1.38445298344979,0.578166657857002,1081,671,62.0721554116559,9.24996225898262,0.280317630106317
"42",42,1,40,2,0.402861542807982,0.574371808407722,0.791260004620109,0.326949395419013,0.533890132630785,0.304181642827557,0.365113839159185,0.165228253932438,0.212801909511682,0.299946066454338,0.359133026481813,0.165601546258683,0.208633119352199,0.236201924323675,0.225568382344524,0.126065076970595,0.082920617731305,0.233220234565223,0.255527792731296,0.12627899928066,0.137193425465663,152.265301760479,59.8458580265886,1.39854714935325,0.684030416341691,938,623,66.4179104477612,9.6060767297895,0.244406583885199
"43",43,1,40,3,0.402094257708123,0.544982643679891,0.696243463736059,0.340417555537593,0.51930436547811,0.316219131095296,0.358956188282695,0.179324236660455,0.233208271124165,0.315632847747376,0.359088396140082,0.179933510757954,0.232483894364253,0.274627978649764,0.284774167636866,0.148598955544827,0.152101486690552,0.260115233039954,0.284275916646025,0.147478500121539,0.17325028580223,187.806854674196,58.7918352409039,1.145766143851,0.63658393867806,953,582,61.0703043022036,10.1016899039354,0.322692190161849
