"","species","speed","category","size"
"282","takin",0.0566895678336748,"LS","large"
"283","takin",1.01922118412731e-07,"LS","large"
"284","takin",1.32944079786102e-07,"LS","large"
"285","takin",1.75977063291201e-07,"LS","large"
"286","takin",1.06259905822292e-07,"LS","large"
"287","takin",1.2504559143517e-06,"LS","large"
"288","takin",3.60709586750718e-06,"LS","large"
"289","himalayan black bear",2.73182727809951e-06,"LS","large"
"290","takin",1.07374945398552,"LS","large"
"291","takin",0.96011773971061,"LS","large"
"292","takin",1.40936378076205,"LS","large"
"293","takin",2.05252987765849,"LS","large"
"294","takin",1.68992658110438e-06,"LS","large"
"295","himalayan black bear",6.4903042148525e-07,"LS","large"
"296","himalayan black bear",0.000150906178831036,"LS","large"
"297","takin",7.74517117242029e-07,"LS","large"
"298","takin",1.73283214790092e-06,"LS","large"
"299","takin young",1.94576616586618e-06,"LS","large"
"300","takin young",4.43937514233348e-06,"LS","large"
"301","takin",1.6991377238588e-06,"LS","large"
"302","takin",2.13617399283944e-06,"LS","large"
"303","takin",1.38820714670782e-05,"LS","large"
"304","takin",3.63608422634286e-07,"LS","large"
"305","takin",9.03031622398725e-07,"LS","large"
"306","takin",6.21293158202555e-07,"LS","large"
"307","takin",5.95269603203379e-05,"LS","large"
"308","takin",8.15871954326604e-07,"LS","large"
"309","takin",8.2024470549814e-07,"LS","large"
"310","takin",4.01578584766362e-05,"LS","large"
"311","takin",3.45528417868402e-05,"LS","large"
"312","takin",2.76255948540674e-05,"LS","large"
"313","takin",2.09113674666902e-05,"LS","large"
"314","takin",1.34895878605935e-05,"LS","large"
"315","takin",1.88577794367939e-05,"LS","large"
"316","takin",1.97318939097534e-05,"LS","large"
"317","takin",1.47805231067525e-05,"LS","large"
"318","takin",1.04313031211389e-05,"LS","large"
"319","takin",6.65486091462509e-06,"LS","large"
"320","takin",1.57671358260145e-06,"LS","large"
"321","takin",1.80962656439507e-06,"LS","large"
"322","himalayan black bear",2.35895669234693e-06,"LS","large"
"323","takin",0.880636031037544,"LS","large"
"324","takin",0.222456436893993,"LS","large"
"325","takin",0.582166318821138,"LS","large"
"326","takin",0.20982063269072,"LS","large"
"327","takin young",0.297476126185146,"LS","large"
"328","takin",0.633708922261155,"LS","large"
"329","takin",2.25611206120055e-06,"LS","large"
"330","takin",1.53791462902836e-06,"LS","large"
"331","takin",4.24942402656393e-06,"LS","large"
"332","takin",6.38245436692263e-06,"LS","large"
"333","takin",0.000148257304381257,"LS","large"
"334","takin",8.73968450204232e-05,"LS","large"
"335","takin",1.07131448017651e-05,"LS","large"
"336","takin",5.24102746002355e-06,"LS","large"
"337","takin",0.0477379553891037,"LS","large"
"338","himalayan black bear",0.235635106833252,"LS","large"
"339","takin",0.217106911208022,"LS","large"
"340","takin",0.130411859573312,"LS","large"
