markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
3824,24500,2725,890,490,Fox,Loc_50,2016-10-24 03:45:33,C:/Users/nash.l/Documents/Processed photos/point 50 phase 2/Loc_50-20161024-03-45-33-EK000114.jpg,BH3,Loc_50_BH3,6.32207868377876,-0.0579345099508306,935.023233699066,2.49920251716064,1,2.49920251716064,3
3852,24560,2749,1663,384,Fox,Loc_50,2016-10-25 05:17:22,C:/Users/nash.l/Documents/Processed photos/point 50 phase 2/Loc_50-20161025-05-17-22-EK000189.jpg,BH3,Loc_50_BH3,3.45624359724836,0.276269789989409,72.1110255092798,0.127612447668205,2,0.0638062238341024,3
3856,24593,2751,1572,505,Fox,Loc_50,2016-10-29 01:44:46,C:/Users/nash.l/Documents/Processed photos/point 50 phase 2/Loc_50-20161029-01-44-46-EK000222.jpg,BH3,Loc_50_BH3,6.55428409949721,0.236926204873546,894.48533850744,3.41754112981069,2,1.70877056490535,3
3865,24633,2758,1773,762,Fox,Loc_51,2016-10-18 02:34:55,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161018-02-34-55-IMG_0011.jpg,RP8,Loc_51_RP8,2.73320771687439,0.287961251164629,7.07106781186548,0.0100274437691435,3,0.00334248125638115,6
3876,24683,2764,1477,588,Fox,Loc_51,2016-10-19 01:21:05,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161019-01-21-05-IMG_0061.jpg,RP8,Loc_51_RP8,1.7835578914809,0.174160810116925,1122.13023901573,1.71312835356245,1,1.71312835356245,3
3883,24723,2769,1171,761,Fox,Loc_51,2016-10-19 05:21:07,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161019-05-21-07-IMG_0101.jpg,RP8,Loc_51_RP8,2.63747098099106,0.0565157595743663,721.642581644182,1.13846664827943,1,1.13846664827943,3
3888,24753,2772,1026,806,Fox,Loc_51,2016-10-20 03:37:57,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161020-03-37-57-IMG_0131.jpg,RP8,Loc_51_RP8,2.97383938897198,0.000768921898970971,302.610310465457,0.797468381322762,1,0.797468381322762,2
3892,24773,2775,658,765,Fox,Loc_51,2016-10-22 02:40:11,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161022-02-40-11-IMG_0151.jpg,RP8,Loc_51_RP8,2.59366679002602,-0.140712707511688,980.153097553776,1.03056167969131,5,0.206112335938261,9
3907,24836,2782,1024,694,Fox,Loc_51,2016-10-23 03:15:10,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161023-03-15-10-IMG_0214.jpg,RP8,Loc_51_RP8,2.21103831001894,0,727.757428326848,0.668696975022562,1,0.668696975022562,3
3912,24863,2785,1482,771,Fox,Loc_51,2016-10-26 00:05:07,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161026-00-05-07-IMG_0241.jpg,RP8,Loc_51_RP8,2.75925708786272,0.176083114864352,1126.04205324108,1.3713227423601,2,0.685661371180049,4
