"","species","speed"
"505","coati",0.225
"506","agouti",0.278571428571429
"507","rat",0.468
"508","agouti",0.321428571428571
"509","coati",0.36
"510","agouti",0.364285714285714
"511","coati",0.364285714285714
"512","agouti",0.385714285714286
"513","agouti",0.495
"514","coati",0.591428571428571
"515","agouti",0.6
"516","coati",0.664285714285714
"517","agouti",0.771428571428571
"518","agouti",0.14
"519","agouti",0.57
"520","rat",0.33
"521","agouti",0.653999999999999
"522","agouti",0.0694736842105264
"523","agouti",0.84
"524","agouti",0.195
"525","agouti",0.313714285714286
"526","agouti",0.219
"527","rat",0.27
"528","rat",0.159
"529","rat",0.0646153846153848
"530","agouti",0.192
"531","coati",0.175
"532","agouti",0.2825
"533","agouti",0.18
"534","agouti",0.324
"535","agouti",0.2988
"536","agouti",0.244285714285714
"537","agouti",0.471428571428571
"538","coati",0.168
"539","agouti",0.2052
"540","agouti",0.540000000000001
"541","agouti",0.928799999999999
"542","agouti",0.0857142857142857
"543","agouti",0.15
"544","agouti",0.129545454545455
"545","agouti",0.288
"546","agouti",0.36
"547","agouti",0.405
"548","agouti",0.164285714285715
"549","mouse",0.1575
"550","agouti",0.04725
"551","agouti",0.0573529411764706
"552","agouti",0.219
"553","agouti",0.0980769230769234
"554","squirrel",0.308571428571428
"555","agouti",0.0392307692307694
"556","agouti",0.36
"557","agouti",0.12075
"558","agouti",0.51
"559","rat",0.0680769230769233
"560","agouti",0.0637500000000001
"561","agouti",0.21
"562","agouti",0.282
"563","agouti",0.0620454545454547
"564","agouti",0.273
"565","squirrel",0.2425
"566","agouti",0.0361764705882353
"567","agouti",0.305357142857142
"568","agouti",0.0615
"569","rat",0.27
"570","agouti",0.12
"571","agouti",0.333
"572","rat",0.102857142857143
"573","agouti",0.110204081632653
"574","agouti",0.21
"575","rat",0.3
"576","agouti",0.214285714285714
"577","agouti",0.176785714285714
"578","agouti",0.33
"579","agouti",0.257142857142857
"580","agouti",0.241071428571429
"581","agouti",0.257142857142857
"582","agouti",0.375
"583","agouti",0.557142857142857
"584","agouti",0.869999999999999
"585","agouti",0.300857142857143
"586","agouti",0.0417857142857143
"587","agouti",0.267857142857143
"588","agouti",0.239142857142857
"589","rat",0.118681318681319
"590","agouti",0.275510204081633
"591","agouti",0.198367346938775
"592","agouti",0.0420779220779221
"593","squirrel",0.187714285714286
"594","agouti",0.115714285714286
"595","agouti",0.145714285714286
"596","agouti",0.0455844155844157
"597","agouti",0.132857142857143
"598","rat",0.129
"599","rat",0.122142857142857
"600","agouti",0.192
"601","agouti",0.1125
"602","agouti",0.102
"603","agouti",0.405
"604","agouti",0.214285714285714
"605","agouti",0.130714285714286
"606","squirrel",0.396428571428571
"607","agouti",0.278571428571428
"608","agouti",0.17265306122449
"609","agouti",0.440357142857143
"610","mouse",0.0749999999999999
"611","agouti",0.0921428571428571
"612","rat",0.144
"613","agouti",0.0338345864661654
"614","agouti",0.218571428571428
"615","agouti",0.332142857142857
"616","agouti",0.321428571428572
"617","agouti",0.09
"618","agouti",0.0734693877551018
"619","rat",0.495000000000001
"620","agouti",0.29868131868132
"621","squirrel",0.0728571428571428
"622","agouti",0.121558441558442
"623","squirrel",0.119387755102041
"624","agouti",0.278571428571429
"625","agouti",0.321428571428571
"626","coati",0.602142857142857
"627","agouti",0.171
"628","agouti",0.17265306122449
"629","agouti",0.575357142857143
"630","agouti",0.149142857142857
"631","agouti",0.21
"632","squirrel",0.187714285714286
"633","agouti",0.192857142857143
"634","rat",0.0524175824175826
"635","agouti",0.101785714285715
"636","agouti",0.189
"637","agouti",0.225
"638","mouse",0.162
"639","agouti",0.1625
