"","species","speed"
"140","brocket",0.0651428571428572
"141","paca",0.405
"142","brocket",0.125217391304348
"143","peccary",0.282375
"144","peccary",0.380571428571428
"145","paca",0.144
"146","paca",0.48
"147","peccary",0.3375
"148","brocket",0.407142857142857
"149","paca",0.255
"150","paca",0.058846153846154
"151","paca",0.192
"152","brocket",0.104347826086956
"153","brocket",0.114375
"154","peccary",0.45
"155","paca",0.33
"156","peccary",0.324
"157","brocket",0.197142857142857
"158","paca",0.4005
"159","paca",0.132857142857142
"160","paca",0.195000000000001
"161","peccary",0.3
"162","brocket",0.0669230769230771
"163","paca",0.12
"164","paca",0.192857142857142
"165","brocket",0.606
"166","paca",0.0599999999999998
"167","brocket",0.0715384615384618
"168","paca",0.275
"169","peccary",0.257142857142857
"170","peccary",0.36
"171","brocket",0.241071428571429
"172","peccary",0.293877551020408
"173","paca",0.48
"174","brocket",0.257142857142857
"175","peccary",0.364285714285714
"176","brocket",0.437142857142857
"177","brocket",0.321428571428571
"178","peccary",0.54
"179","peccary",0.477551020408163
"180","peccary",0.6
"181","brocket",0.106530612244898
"182","peccary",0.207692307692308
"183","brocket",0.252
"184","paca",0.216
"185","paca",0.218571428571428
"186","brocket",0.375
"187","peccary",0.192857142857143
"188","brocket",0.376071428571429
"189","paca",0.255
"190","peccary",0.321428571428571
"191","paca",0.345
"192","paca",0.200571428571428
"193","paca",0.3
"194","paca",0.15
"195","paca",0.102857142857143
"196","brocket",0.220408163265306
"197","brocket",0.24375
"198","peccary",0.321428571428571
"199","brocket",0.369642857142857
"200","peccary",0.3375
"201","peccary",0.587755102040816
"202","peccary",0.708749999999999
"203","paca",0.140625
"204","paca",0.215625
"205","peccary",0.107678571428571
"206","paca",0.3375
"207","peccary",0.0843750000000001
"208","brocket",0.140625
"209","paca",0.439714285714285
"210","brocket",0.12375
"211","brocket",0.369642857142857
"212","paca",0.2205
"213","peccary",0.124772727272727
"214","paca",0.18
"215","paca",0.0909375000000002
"216","paca",0.16875
"217","paca",0.385714285714285
"218","paca",0.33
"219","peccary",0.244285714285714
"220","paca",0.129
"221","peccary",0.0586607142857141
"222","paca",0.26325
"223","brocket",0.696428571428571
"224","paca",0.4185
"225","brocket",0.265909090909091
"226","brocket",0.29
"227","paca",0.131785714285714
"228","peccary",0.02
"229","brocket",0.04
"230","peccary",0.0599999999999999
"231","paca",0.0799999999999999
"232","peccary",0.0799999999999999
"233","peccary",0.0999999999999999
"234","brocket",0.0999999999999999
"235","peccary",0.0625
"236","peccary",0.12
"237","peccary",0.0857142857142857
"238","peccary",0.0857142857142857
"239","paca",0.14
"240","peccary",0.14
"241","peccary",0.14
"242","peccary",0.14
"243","brocket",0.16
"244","brocket",0.133333333333333
"245","peccary",0.133333333333333
"246","peccary",0.15
"247","peccary",0.18
"248","paca",0.18
"249","peccary",0.18
"250","peccary",0.2
"251","peccary",0.125
"252","peccary",0.25
"253","paca",0.25
"254","paca",0.22
"255","paca",0.22
"256","peccary",0.157142857142857
"257","peccary",0.22
"258","brocket",0.22
"259","paca",0.24
"260","paca",0.3
"261","peccary",0.24
"262","brocket",0.26
"263","paca",0.26
"264","peccary",0.1625
"265","brocket",0.155555555555556
"266","peccary",0.233333333333333
"267","paca",0.28
"268","paca",0.3
"269","paca",0.3
"270","paca",0.3
"271","brocket",0.36
"272","brocket",0.32
"273","peccary",0.32
"274","paca",0.32
"275","paca",0.32
"276","paca",0.34
"277","paca",0.34
"278","peccary",0.242857142857143
"279","peccary",0.225
"280","peccary",0.2375
"281","brocket",0.2375
"282","peccary",0.45
"283","peccary",0.4
"284","brocket",0.285714285714286
"285","brocket",0.25
"286","peccary",0.42
"287","brocket",0.44
"288","brocket",0.366666666666667
"289","peccary",0.314285714285714
"290","peccary",0.369642857142857
"291","brocket",0.46
"292","brocket",0.3
"293","peccary",0.48
"294","peccary",0.675000000000001
"295","paca",0.559999999999999
"296","peccary",0.482142857142857
"297","peccary",0.3875
"298","peccary",0.457142857142857
"299","peccary",0.699999999999999
"300","brocket",0.514285714285714
"301","brocket",0.514285714285714
"302","peccary",0.038125
"303","peccary",0.0426315789473684
"304","paca",0.168461538461539
"305","peccary",0.1425
"306","paca",0.106
"307","paca",0.34
"308","brocket",0.18
"309","peccary",0.0799999999999999
"310","paca",0.21
"311","brocket",0.4
"312","peccary",0.0477272727272728
"313","peccary",0.599999999999999
"314","paca",0.12
"315","peccary",0.142
"316","brocket",0.27
"317","brocket",0.202631578947369
"318","paca",0.115
"319","peccary",0.201666666666667
"320","peccary",0.264
"321","peccary",0.221428571428571
"322","peccary",0.16
"323","brocket",0.184
"324","paca",0.146923076923077
"325","paca",0.167142857142857
"326","peccary",0.0628571428571428
"327","paca",0.28
"328","paca",0.18
"329","paca",0.22
"330","paca",0.489375000000001
"331","brocket",0.432
"332","brocket",0.44
"333","paca",0.275
"334","peccary",0.24
"335","peccary",0.428571428571428
"336","peccary",0.24
"337","paca",0.520000000000001
"338","peccary",0.105333333333333
"339","brocket",0.1125
"340","paca",0.161428571428571
"341","brocket",0.15125
"342","peccary",0.11
"343","peccary",0.1215
"344","paca",0.18
"345","peccary",0.244999999999999
"346","paca",0.27
"347","peccary",0.36
"348","peccary",0.385714285714286
"349","peccary",0.590399999999999
"350","peccary",0.10125
"351","brocket",0.5022
"352","brocket",0.2304
"353","paca",0.279
"354","paca",0.0899999999999999
"355","peccary",0.2034
"356","peccary",0.0510000000000001
"357","peccary",0.378
"358","brocket",0.225
"359","paca",0.162692307692308
"360","paca",0.114545454545454
"361","peccary",0.3825
"362","peccary",0.414
"363","peccary",0.527142857142857
"364","peccary",0.470454545454545
"365","paca",0.137454545454545
"366","paca",0.0818181818181817
"367","peccary",0.2826
"368","peccary",0.0572727272727272
"369","peccary",0.0677922077922076
"370","peccary",0.06
"371","paca",0.0954545454545454
