"species" "distance" "intervals" "avgduration"
"258" "paca" 0.43 2 0.555555555555556
"259" "agouti" 0.53 2 0.777777777777778
"260" "agouti" 0.82 2 0.444444444444444
"261" "rat" 0.44 2 0.444444444444444
"262" "agouti" 0.68 2 0.777777777777778
"263" "agouti" 1.21 2 2
"264" "mouse" 0.62 2 1.33333333333333
"265" "agouti" 0.68 2 0.666666666666667
"266" "rat" 0.72 2 1.66666666666667
"267" "armadillo" 1.5 1 0.444444444444444
"268" "agouti" 1.8 2 1.55555555555556
"269" "agouti" 0.71 2 2
"270" "agouti" 0.53 2 0.555555555555556
"271" "agouti" 0.54 2 1.66666666666667
"272" "paca" 0.75 2 1.66666666666667
"273" "agouti" 0.93 2 0.666666666666667
"274" "agouti" 0.33 2 1.33333333333333
"275" "agouti" 0.34 1 0.555555555555556
"276" "squirrel" 0.37 2 2.22222222222222
"277" "agouti" 2.35 2 2.44444444444444
"278" "agouti" 0.2 2 1.55555555555556
"279" "peccary" 1.48 2 2.22222222222222
"280" "agouti" 0.4 2 0.777777777777778
"281" "peccary" 1.24 2 1.55555555555556
"282" "opossum" 0.71 2 1.33333333333333
"283" "agouti" 0.21 2 0.666666666666667
"284" "agouti" 0.38 2 0.555555555555556
"285" "paca" 1.23 2 1.44444444444444
"286" "squirrel" 0.3 1 0.555555555555556
"287" "agouti" 0.71 2 0.555555555555556
"288" "peccary" 0.55 2 1.55555555555556
"289" "rat" 0.95 2 1.66666666666667
"290" "armadillo" 0.37 2 1.44444444444444
"291" "agouti" 0.66 2 2
"292" "peccary" 0.16 2 0.444444444444444
"293" "coati" 0.52 2 0.555555555555556
"294" "agouti" 0.97 2 2.66666666666667
"295" "brocket" 0.61 1 0.666666666666667
"296" "paca" 2.5 2 0.555555555555556
"297" "agouti" 0.85 2 1.44444444444444
"298" "paca" 0.47 2 1.77777777777778
"299" "armadillo" 0.3 3 0.555555555555556
"300" "coati" 0.4 2 0.666666666666667
"301" "squirrel" 0.4 3 0.888888888888889
"302" "agouti" 0.6 3 0.777777777777778
"303" "agouti" 0.7 3 0.555555555555556
"304" "paca" 0.7 3 0.555555555555556
"305" "agouti" 0.8 2 0.777777777777778
"306" "squirrel" 1.3 3 0.888888888888889
"307" "opossum" 1.3 3 0.666666666666667
"308" "coati" 1.7 3 0.888888888888889
"309" "peccary" 1.7 3 0.555555555555556
"310" "coati" 1.8 3 0.777777777777778
"311" "ocelot" 1.8 3 0.888888888888889
"312" "paca" 1.9 3 0.666666666666667
"313" "peccary" 2 3 0.777777777777778
"314" "peccary" 2.3 3 0.555555555555556
"315" "squirrel" 3.5 3 0.777777777777778
"316" "peccary" 0.88 3 1.55555555555556
"317" "agouti" 1.35 3 1.55555555555556
"318" "brocket" 0.7 3 2.22222222222222
"319" "agouti" 0.9 3 0.888888888888889
"320" "squirrel" 2.15 3 0.555555555555556
"321" "rat" 0.63 3 1.44444444444444
"322" "agouti" 1.33 3 1.66666666666667
"323" "paca" 1.05 3 0.444444444444444
"324" "agouti" 0.3 2 0.444444444444444
"325" "squirrel" 0.54 3 0.555555555555556
"326" "agouti" 1.1 3 1.44444444444444
"327" "squirrel" 0.42 3 0.444444444444444
"328" "agouti" 0.55 2 0.555555555555556
"329" "agouti" 0.75 3 2.22222222222222
"330" "agouti" 1.8 3 2.66666666666667
"331" "agouti" 0.4 2 0.444444444444444
"332" "peccary" 0.62 3 1.44444444444444
"333" "paca" 0.44 3 0.444444444444444
"334" "agouti" 0.41 3 0.444444444444444
"335" "agouti" 0.57 2 0.444444444444444
"336" "paca" 0.84 3 0.666666666666667
"337" "rat" 1.24 3 1
"338" "paca" 1 2 0.555555555555556
