"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected"
"76","middle",45,4,0.413018591205127,0.677676699015408,0.824494699232258,0.392689678118052,0.576134673923482,0.386885362215833,0.434521174773528,0.198212641223011,0.251842802536642,0.382011708008588,0.432473104526676,0.195961729300919,0.248373255054988,0.319294209116507,0.343546491062908,0.143748053012603,0.14514936267408,0.302352939050861,0.337887312540229,0.145799980881305,0.177198884469407,45.71652556187,54.8613248968966,1.47788728559466,0.711687352786581,3206,963
"77","middle",45,5,0.416185472553093,0.636187478143971,0.818417720286475,0.410065154922387,0.5955041376669,0.385790191632553,0.388031254888878,0.2279065977731,0.272882831815207,0.384455772848143,0.387803225372387,0.224606104954851,0.265064307018109,0.338429373882662,0.277450580203629,0.179918728620485,0.157982069857105,0.312751346274199,0.296320030031774,0.170247891602167,0.185434850157581,43.413527611238,53.0538982687714,1.51901163658711,0.683293058360702,2717,905
"78","middle",45,6,0.411374632182044,0.647206349373964,0.71711939472664,0.333441812190553,0.469882974519158,0.354836384874415,0.375818942562243,0.161388576300418,0.199886677503155,0.349163341772463,0.370488789558941,0.161424357353045,0.198892887648505,0.282364739372633,0.286436840193737,0.118588837588197,0.113225654668008,0.273504961296774,0.284126634113131,0.123986652717725,0.142156475722089,50.2185755302617,46.7053799237007,1.13252266618498,0.649789638545301,3456,1206
"79","middle",45,7,0.411502709986791,0.646144284088123,0.803092500430556,0.386960558763353,0.570209748724542,0.37359545038963,0.421737344552786,0.208084442613336,0.262333343875627,0.363279449249554,0.421914014861793,0.207115038413025,0.259701956037827,0.292877907514772,0.342737291119734,0.165689890355974,0.171918285295107,0.272504861940545,0.340165263188824,0.160103414301276,0.192277801346331,50.1409766333038,54.3690374263918,1.23167915739027,0.745249781060968,3074,933
"80","middle",45,8,0.415374795753871,0.596670297918902,0.79110413740834,0.383465749930086,0.562670521104954,0.357962211400152,0.400267894310046,0.199566689919515,0.248142713873294,0.357843572863376,0.404021973968109,0.201002907950937,0.247670494016897,0.314924758978209,0.322380156252295,0.162825875381056,0.157265020679447,0.291623118233798,0.325175215707569,0.160947007019032,0.183416800950699,42.6924811913943,48.6417577286645,1.34146349069851,0.734240617916279,2776,909
"81","middle",50,1,0.423950580707847,0.708372017903439,0.843115538473271,0.425278455013753,0.62536280037099,0.415548910706551,0.452250482885768,0.217238115604744,0.282717963323824,0.418087444104891,0.45438738621964,0.218500390281568,0.284063000636801,0.373959283927566,0.374044410781062,0.172055303625404,0.18946859905418,0.358366305587835,0.363086405758231,0.171500784131939,0.211769822984137,46.3115737317429,52.33976956045,1.41895352934301,0.735341720941087,2557,773
"82","middle",50,2,0.420350021006571,0.632535208564213,0.785686725933309,0.354052093576189,0.524916718010834,0.350249764108811,0.398761849966026,0.179022514379409,0.223688324520242,0.349684182066457,0.400198993762127,0.17979677681359,0.222821156341849,0.290033295470588,0.306890739033263,0.140303058251977,0.126387612998586,0.276775275091594,0.306009965328863,0.141448263786026,0.158505260116602,45.1719824767068,41.9350336371542,1.45809446688027,0.708619751051387,3478,1085
"83","middle",50,3,0.422331168505048,0.655117706952514,0.872812620514019,0.429270084101542,0.638864087928472,0.396548733828686,0.444999869988722,0.224049503313949,0.283335378990237,0.394587850686849,0.453924405110654,0.225516235554516,0.284636871116569,0.345009875637099,0.359079848958542,0.177845608487506,0.178740923573094,0.317761675428193,0.353927932933926,0.173213774635267,0.206178785508341,44.6815349746041,52.4285621104262,1.56925297467194,0.763750736207059,2880,867
"84","middle",50,4,0.42283395289366,0.681970771050811,0.80192162711553,0.402453631212924,0.587004963821055,0.400550500291594,0.418765540321537,0.213205823000035,0.270402333325126,0.397347001047216,0.418151620537878,0.214073386906659,0.269508164298881,0.343049994204032,0.333503716211873,0.175229978603112,0.181330528972158,0.321537761020203,0.330138930178579,0.17210285644135,0.200458550806978,51.4726612266638,55.8655756142119,1.39594593400584,0.697885388738967,2847,906
"85","middle",50,5,0.420182263977018,0.598481536585874,0.780998420810262,0.359466466785882,0.532538846145849,0.355190616476062,0.403774315050077,0.184458509803525,0.230774179164697,0.353471677665582,0.403158303604317,0.18492575287081,0.229022998758281,0.310949789745642,0.315775008511831,0.143354033198832,0.132203531537394,0.293389266328173,0.313358537155131,0.141984917432142,0.162426785747085,45.5618384321814,56.7605689279893,1.39672691159909,0.667380580176264,3231,976
"86","middle",50,6,0.420235702421156,0.651041973515355,0.76696935753787,0.35975045827742,0.520327246316719,0.353710489279214,0.401376603977556,0.18722090832756,0.233699711317758,0.347098497929082,0.3966626702391,0.187382502106649,0.231784323513089,0.267559820587864,0.306048597414532,0.147354548223234,0.143667340331926,0.256505868370228,0.302388090980461,0.144912321966764,0.166438693086907,50.9291351659893,54.9663430264305,1.3560338895818,0.653305905933939,3011,1084
"87","middle",50,7,0.420421759727368,0.594806290505416,0.785383066379083,0.39123680346452,0.573144153333632,0.392552179516324,0.445598431945086,0.206787024413864,0.266200408932145,0.394925699424669,0.446002253253878,0.205346598005511,0.26453771124565,0.371085779842818,0.382091421724144,0.162985642733665,0.180738934475246,0.344472655904419,0.363462202239757,0.160069277113531,0.198520622309906,49.7424426484777,57.9602870383133,1.33179008350324,0.704703236964684,2805,903
"88","middle",50,8,0.424318170189647,0.697847386234362,0.805919269841593,0.380879425943999,0.554316447869124,0.370236468074711,0.421107002256819,0.179976326300519,0.231492500454458,0.367270281326671,0.422424973800353,0.179406644257343,0.231449449726451,0.29396706105375,0.343300062400936,0.1239335740648,0.132709622939739,0.28972712032191,0.340908209527175,0.133152808037761,0.168627149880997,48.2286082478365,57.2211698401835,1.39313868735736,0.70131728633022,2958,993
