"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean"
"18","whole",10,2,0.30870984322291,0.528108199962772,0.648529688325107,0.289515916008168,0.433286776274658,0.28575190450898,0.3012521743413,0.14756212452263,0.182003815214945,0.27759922735063,0.308474141675982,0.146319534515275,0.179692665627582,0.213100444021359,0.220280446894662,0.109675916779059,0.0931960005994334,0.208143492351413,0.233858404438856,0.110255693246109,0.124339729267611,190.072142905018,32.8059381648956,0.964968182111751,0.63950325441678
"19","whole",10,3,0.306797712966219,0.515167345104849,0.630744061269638,0.295722904977067,0.428686915651628,0.281661456956611,0.308899017513975,0.153715095911142,0.188833489693193,0.279594848828212,0.306243308858729,0.153626929137542,0.186231219506198,0.22306589615442,0.214138357688631,0.119185268897715,0.10426171621372,0.212255287300992,0.222846695444787,0.117045452392067,0.128211602420218,205.913482079575,38.9522495739689,1.13790920169432,0.586786143183389
"20","whole",10,4,0.310065345843633,0.438160934737476,0.625211054136231,0.272716936228255,0.407980723683386,0.268936764060092,0.325080033135437,0.139604816999957,0.173950901225345,0.265293901533534,0.31837898912382,0.142372913594346,0.174302102539666,0.228365130691958,0.230736281252943,0.112856613089702,0.0940896615345853,0.205182079307742,0.229197210735295,0.110532284695592,0.119513926514222,198.972836617308,34.7406552881189,1.02873065735837,0.624026357782131
"21","whole",10,5,0.308509292406973,0.487928035224532,0.642900578116529,0.281696693941522,0.419494162730721,0.278726665678578,0.329243811531104,0.150290539676604,0.18589307897903,0.272766854953642,0.323251617332363,0.149673052287594,0.182428649541957,0.222441873455151,0.23289171599401,0.118787884930752,0.100858680634162,0.20898697493606,0.234113996670637,0.115093105732961,0.124602309436718,193.078197323401,32.5942742451028,0.913656539445397,0.650166646784501
"22","whole",10,6,0.309601927313987,0.41932065822681,0.618771441352293,0.243641118047848,0.387770711220317,0.238022819763682,0.296317972087156,0.12486685269385,0.156579609586417,0.236907126116005,0.292142858369067,0.123645546866923,0.152011332367286,0.199853283471098,0.192939441530495,0.0935487905684919,0.0596246932416146,0.18891846132311,0.207803803884978,0.0938105485318058,0.099143769424801,170.300639280609,28.7157846322998,1.03434465756096,0.622465130264757
"23","whole",10,7,0.30766754079337,0.469872294559433,0.591769007812344,0.271837162842377,0.388957754725305,0.269782744918428,0.30368904549229,0.143171169545362,0.174247273191671,0.263143575253931,0.300065766047213,0.142630519703164,0.171594868537531,0.210188300994066,0.224749381342445,0.112690384110906,0.102184807968834,0.194959025196049,0.224912256311777,0.110326270442868,0.121015364431812,212.207620852935,31.6545981432228,0.923725582242666,0.584642388233965
"24","whole",10,8,0.30882422653513,0.469640986641492,0.638804840059189,0.305363682274134,0.459688145491583,0.284112074189199,0.304608204985349,0.157008022035015,0.196743901826463,0.28264300378659,0.300992387235449,0.159444512728904,0.195700677747856,0.248903023524382,0.203848727546277,0.127960433950012,0.10717261327087,0.230111995953088,0.219334048796873,0.125794605711344,0.135822913784519,203.049323493258,46.0806277873289,1.07362158706875,0.606811205714057
"25","whole",15,1,0.331692993458897,0.520092179133522,0.665402707083593,0.302612739189055,0.456435634554684,0.286122587872693,0.332077347140684,0.15308725797871,0.194607962350403,0.282991913962188,0.327240562621706,0.154419063787372,0.193689806470166,0.227940856958016,0.232752153824807,0.121180515827035,0.10627540471777,0.217510746146172,0.239315617251111,0.121355145741127,0.135011532366149,197.4269480112,34.0517539413298,1.03759934992503,0.652327592984686
"26","whole",15,2,0.332386176664327,0.503244605161523,0.64282171634189,0.2724217468163,0.418776984356402,0.270147079550474,0.319429049739857,0.13349931840503,0.170351683671769,0.26472956563925,0.313416737300009,0.134409971323607,0.169240181353032,0.200839150541249,0.217319871366833,0.100209682518447,0.0798296041567981,0.194620011147821,0.225437331628662,0.102641137799009,0.115011034207273,209.53782616994,33.7250648077415,0.994654474039142,0.633948286226324
"27","whole",15,3,0.333850125766834,0.570010741658967,0.649821152728776,0.316976284757007,0.462266489157436,0.306312468275177,0.322473313764211,0.159593107137523,0.202032197681996,0.303910957038133,0.322252786619857,0.160428398968001,0.201853861053168,0.242258202715722,0.233937021954179,0.123857755789446,0.119264656418466,0.235056523151319,0.237992680906654,0.124662753829661,0.143036157702371,240.111182427422,47.288503961097,0.95018205316001,0.61953712604717
