"","X.2","X.1","X","species","speed","category","size","Body_mass_g","distance","avgduration"
"545",1271,1271,1271,"peccary",0.854999999999999,"LS","large",21133.69,1.9,0.555555555555556
"546",1272,1272,1272,"agouti",0.585,"SF","small",2309.12,2.08,0.888888888888889
"547",1273,1273,1273,"ocelot",0.652500000000002,"LF","large",11880,3.48,1.33333333333333
"548",1274,1274,1274,"opossum",0.18,"LF","large",1134.75,0.3,0.555555555555556
"549",1275,1275,1275,"agouti",0.0725,"SF","small",2309.12,0.58,2
"550",1276,1276,1276,"agouti",0.539999999999999,"SF","small",2309.12,0.6,0.555555555555556
"551",1277,1277,1277,"tamandua",0.539999999999999,"LS","large",4800,1.2,0.555555555555556
"552",1278,1278,1278,"coati",0.222857142857143,"SF","small",3775.5,0.52,0.777777777777778
"553",1279,1279,1279,"agouti",0.2925,"SF","small",2309.12,0.65,0.555555555555556
"554",1280,1280,1280,"rat",0.14625,"SF","small",282.17,0.91,1.55555555555556
"555",1281,1281,1281,"peccary",0.809999999999999,"LS","large",21133.69,1.8,0.555555555555556
"556",1282,1282,1282,"squirrel",0.0825,"SF","small",545.4,0.22,0.666666666666667
"557",1283,1283,1283,"agouti",0.3015,"SF","small",2309.12,0.67,0.555555555555556
"558",1284,1284,1284,"agouti",0.3285,"SF","small",2309.12,0.73,0.555555555555556
"559",1285,1285,1285,"coati",0.342857142857143,"SF","small",3775.5,0.8,0.777777777777778
"560",1286,1286,1286,"rat",0.15923076923077,"SF","small",282.17,0.92,1.44444444444444
"561",1287,1287,1287,"agouti",0.57,"SF","small",2309.12,0.95,0.555555555555556
"562",1288,1288,1288,"agouti",0.3675,"SF","small",2309.12,0.98,0.888888888888889
"563",1289,1289,1289,"agouti",0.178676470588235,"SF","small",2309.12,1.35,1.88888888888889
"564",1290,1290,1290,"agouti",1.0125,"SF","small",2309.12,1.8,0.444444444444444
"565",1291,1291,1291,"agouti",0.73875,"SF","small",2309.12,1.97,0.666666666666667
"566",1292,1292,1292,"rat",0.27,"SF","small",282.17,0.6,0.555555555555556
"567",1293,1293,1293,"rat",0.0918750000000002,"SF","small",282.17,0.49,1.33333333333333
"568",1294,1294,1294,"agouti",0.245454545454546,"SF","small",2309.12,1.2,1.22222222222222
"569",1295,1295,1295,"rat",0.405,"SF","small",282.17,0.9,0.555555555555556
"570",1296,1296,1296,"rat",0.117,"SF","small",282.17,0.78,1.66666666666667
"571",1297,1297,1297,"opossum",0.378,"LF","large",1134.75,0.63,0.555555555555556
"572",1298,1298,1298,"agouti",0.141428571428571,"SF","small",2309.12,0.88,1.55555555555556
"573",1299,1299,1299,"agouti",0.24,"SF","small",2309.12,0.56,0.777777777777778
"574",1300,1300,1300,"brocket",0.202500000000001,"LF","large",20546.86,1.17,1.44444444444444
"575",1301,1301,1301,"squirrel",0.2475,"SF","small",545.4,0.66,0.666666666666667
"576",1302,1302,1302,"agouti",0.317142857142857,"SF","small",2309.12,0.74,0.777777777777778
"577",1303,1303,1303,"ocelot",0.228461538461539,"LF","large",11880,1.32,1.44444444444444
"578",1304,1304,1304,"paca",0.253125,"LS","large",8172.55,0.45,0.444444444444444
"579",1305,1305,1305,"ocelot",0.248571428571428,"LF","large",11880,0.58,0.777777777777778
"580",1306,1306,1306,"agouti",0.279782608695652,"SF","small",2309.12,2.86,2.55555555555556
"581",1307,1307,1307,"agouti",0.54,"SF","small",2309.12,1.44,0.666666666666667
"582",1308,1308,1308,"rat",0.225,"SF","small",282.17,1.1,1.22222222222222
"583",1309,1309,1309,"peccary",0.146785714285715,"LS","large",21133.69,1.37,2.33333333333333
"584",1310,1310,1310,"peccary",0.086785714285714,"LS","large",21133.69,0.54,1.55555555555556
"585",1311,1311,1311,"agouti",0.138068181818182,"SF","small",2309.12,1.35,2.44444444444444
"586",1312,1312,1312,"agouti",0.347142857142856,"SF","small",2309.12,2.16,1.55555555555556
"587",1313,1313,1313,"mouse",0.18,"SF","small",19.3,0.3,0.555555555555556
"588",1314,1314,1314,"agouti",0.252,"SF","small",2309.12,0.42,0.555555555555556
"589",1315,1315,1315,"brocket",0.241071428571428,"LF","large",20546.86,1.5,1.55555555555556
"590",1316,1316,1316,"agouti",0.311785714285714,"SF","small",2309.12,0.97,0.777777777777778
"591",1317,1317,1317,"paca",0.0644999999999999,"LS","large",8172.55,0.43,1.66666666666667
"592",1318,1318,1318,"agouti",0.2505,"SF","small",2309.12,1.67,1.66666666666667
"593",1319,1319,1319,"rat",0.045,"SF","small",282.17,0.1,0.555555555555556
"594",1320,1320,1320,"rat",0.16875,"SF","small",282.17,0.3,0.444444444444444
"595",1321,1321,1321,"rat",0.18,"SF","small",282.17,0.4,0.555555555555556
"596",1322,1322,1322,"rat",0.144,"SF","small",282.17,0.4,0.555555555555556
"597",1323,1323,1323,"agouti",0.27,"SF","small",2309.12,0.6,0.555555555555556
"598",1324,1324,1324,"agouti",0.16875,"SF","small",2309.12,0.6,0.888888888888889
"599",1325,1325,1325,"agouti",0.225,"SF","small",2309.12,0.8,0.888888888888889
"600",1326,1326,1326,"agouti",0.324,"SF","small",2309.12,0.9,0.555555555555556
"601",1327,1327,1327,"coati",0.257142857142857,"SF","small",3775.5,1,0.777777777777778
"602",1328,1328,1328,"peccary",0.45,"LS","large",21133.69,1,0.555555555555556
"603",1329,1329,1329,"coati",0.353571428571428,"SF","small",3775.5,1.1,0.777777777777778
"604",1330,1330,1330,"peccary",0.495,"LS","large",21133.69,1.1,0.555555555555556
"605",1331,1331,1331,"coati",0.308571428571428,"SF","small",3775.5,1.2,0.777777777777778
"606",1332,1332,1332,"agouti",0.315,"SF","small",2309.12,1.4,0.888888888888889
"607",1333,1333,1333,"agouti",0.3375,"SF","small",2309.12,1.5,0.888888888888889
"608",1334,1334,1334,"tamandua",0.385714285714286,"LS","large",4800,1.5,0.777777777777778
"609",1335,1335,1335,"agouti",0.437142857142857,"SF","small",2309.12,1.7,0.777777777777778
"610",1336,1336,1336,"agouti",0.478125,"SF","small",2309.12,1.7,0.888888888888889
"611",1337,1337,1337,"agouti",0.488571428571428,"SF","small",2309.12,1.9,0.777777777777778
"612",1338,1338,1338,"armadillo",0.990000000000001,"SF","small",3949.01,2.2,0.444444444444444
"613",1339,1339,1339,"peccary",0.495,"LS","large",21133.69,2.2,0.888888888888889
"614",1340,1340,1340,"coati",0.5175,"SF","small",3775.5,2.3,0.888888888888889
"615",1341,1341,1341,"paca",0.8625,"LS","large",8172.55,2.3,0.666666666666667
"616",1342,1342,1342,"agouti",1.17,"SF","small",2309.12,2.6,0.555555555555556
"617",1343,1343,1343,"agouti",0.694285714285714,"SF","small",2309.12,2.7,0.777777777777778
