"","species","angle","dist","Body_mass_g","angles_rad"
"311","agouti",-25,1.37,2309.12,0.436332312998582
"312","paca",-26,1.94,8172.55,0.453785605518526
"313","squirrel",-27,1.67,545.4,0.471238898038469
"314","agouti",-27,2.49,2309.12,0.471238898038469
"315","peccary",-28,3.2,21133.69,0.488692190558412
"316","rat",-28,2.05,282.17,0.488692190558412
"317","armadillo",-29,2.25,3949.01,0.506145483078356
"318","agouti",-29,2.45,2309.12,0.506145483078356
"319","peccary",-31,2.31,21133.69,0.541052068118242
"320","coati",-31,1.21,3775.5,0.541052068118242
"321","agouti",-31,2.34,2309.12,0.541052068118242
"322","brocket",-34,5.25,20546.86,0.593411945678072
"323","paca",-38,2.3,8172.55,0.663225115757845
"324","agouti",-40,0.32,2309.12,0.698131700797732
"325","paca",-42,0.46,8172.55,0.733038285837618
"344","peccary",42,1.39,21133.69,0.733038285837618
"345","agouti",42,2.87,2309.12,0.733038285837618
"346","brocket",40,0.3,20546.86,0.698131700797732
"347","agouti",39,0.68,2309.12,0.680678408277788
"348","squirrel",37,2.69,545.4,0.645771823237902
"349","rat",34,0.62,282.17,0.593411945678072
"350","agouti",34,1.35,2309.12,0.593411945678072
"351","paca",33,1.59,8172.55,0.575958653158129
"352","agouti",31,2.35,2309.12,0.541052068118242
"353","squirrel",31,3.84,545.4,0.541052068118242
"354","agouti",31,1.78,2309.12,0.541052068118242
"355","squirrel",27,2.16,545.4,0.471238898038469
"356","agouti",27,0.89,2309.12,0.471238898038469
"357","agouti",27,1.44,2309.12,0.471238898038469
"358","agouti",27,2.28,2309.12,0.471238898038469
"359","agouti",25,3.26,2309.12,0.436332312998582
"360","peccary",24,2.08,21133.69,0.418879020478639
"361","paca",21,2.65,8172.55,0.366519142918809
"362","agouti",18,0.88,2309.12,0.314159265358979
"363","agouti",18,2.08,2309.12,0.314159265358979
"364","paca",18,1.18,8172.55,0.314159265358979
"365","rat",18,0.82,282.17,0.314159265358979
"366","paca",15,2.6,8172.55,0.261799387799149
"367","agouti",15,1.98,2309.12,0.261799387799149
"368","agouti",13,1.22,2309.12,0.226892802759263
"369","mouse",11,1.41,19.3,0.191986217719376
"370","agouti",11,1.78,2309.12,0.191986217719376
"371","agouti",11,2,2309.12,0.191986217719376
"372","agouti",11,1.04,2309.12,0.191986217719376
"373","armadillo",10,0.68,3949.01,0.174532925199433
"374","paca",9,1.52,8172.55,0.15707963267949
"375","agouti",8,1.65,2309.12,0.139626340159546
"376","agouti",8,2.45,2309.12,0.139626340159546
"377","brocket",8,2.1,20546.86,0.139626340159546
"378","agouti",7,1.72,2309.12,0.122173047639603
"379","agouti",7,1.93,2309.12,0.122173047639603
"380","peccary",6,5.1,21133.69,0.10471975511966
"381","agouti",5,2.77,2309.12,0.0872664625997165
"383","ocelot",4,2.15,11880,0.0698131700797732
"384","agouti",3,1.6,2309.12,0.0523598775598299
"385","mouse",3,1.76,19.3,0.0523598775598299
"386","agouti",3,1.3,2309.12,0.0523598775598299
"387","brocket",3,1.9,20546.86,0.0523598775598299
"388","agouti",2,2.18,2309.12,0.0349065850398866
"389","agouti",2,0.98,2309.12,0.0349065850398866
"390","agouti",2,4.68,2309.12,0.0349065850398866
"391","brocket",1,1.59,20546.86,0.0174532925199433
"392","mouse",0,0.84,19.3,0
"393","ocelot",0,0.74,11880,0
"394","coati",0,1.71,3775.5,0
"395","agouti",0,1.62,2309.12,0
"396","peccary",0,2.53,21133.69,0
"397","agouti",0,2.94,2309.12,0
"398","agouti",0,1.69,2309.12,0
"399","coati",0,1.85,3775.5,0
