"","species","angle","dist","Body_mass_g","angles_rad"
"781","agouti",25,3.75,2309.12,0.436332312998582
"782","agouti",24,2.12,2309.12,0.418879020478639
"783","agouti",24,1.15,2309.12,0.418879020478639
"784","paca",23,1.68,8172.55,0.401425727958696
"785","paca",21,1.78,8172.55,0.366519142918809
"786","brocket",20,3.24,20546.86,0.349065850398866
"787","agouti",18,1.46,2309.12,0.314159265358979
"788","agouti",18,3.27,2309.12,0.314159265358979
"789","agouti",17,1.88,2309.12,0.296705972839036
"790","rat",17,1.51,282.17,0.296705972839036
"791","rat",16,1.74,282.17,0.279252680319093
"792","rat",16,1.57,282.17,0.279252680319093
"793","agouti",15,1.74,2309.12,0.261799387799149
"794","ocelot",13,1.74,11880,0.226892802759263
"795","peccary",12,3.2,21133.69,0.20943951023932
"796","coati",12,1.8,3775.5,0.20943951023932
"797","agouti",12,1.12,2309.12,0.20943951023932
"798","agouti",11,1.23,2309.12,0.191986217719376
"799","agouti",11,1.84,2309.12,0.191986217719376
"800","brocket",10,2.68,20546.86,0.174532925199433
"801","agouti",10,1.5,2309.12,0.174532925199433
"802","agouti",10,3.42,2309.12,0.174532925199433
"803","peccary",10,7,21133.69,0.174532925199433
"804","agouti",10,2.5,2309.12,0.174532925199433
"805","coati",9,1.4,3775.5,0.15707963267949
"806","agouti",9,2.86,2309.12,0.15707963267949
"807","agouti",8,3.2,2309.12,0.139626340159546
"808","opossum",7,1.8,1134.75,0.122173047639603
"809","opossum",6,0.8,1134.75,0.10471975511966
"810","agouti",6,5.37,2309.12,0.10471975511966
"811","agouti",5,0.7,2309.12,0.0872664625997165
"812","agouti",5,2.69,2309.12,0.0872664625997165
"813","armadillo",5,2.64,3949.01,0.0872664625997165
"814","armadillo",5,2.3,3949.01,0.0872664625997165
"815","agouti",4,1.94,2309.12,0.0698131700797732
"816","paca",3,3,8172.55,0.0523598775598299
"817","agouti",2,-4,2309.12,0.0349065850398866
"818","peccary",2,0.92,21133.69,0.0349065850398866
"819","agouti",2,4,2309.12,0.0349065850398866
"820","agouti",2,3.26,2309.12,0.0349065850398866
"821","ocelot",2,2.65,11880,0.0349065850398866
"822","agouti",2,2.75,2309.12,0.0349065850398866
"823","brocket",1,2.48,20546.86,0.0174532925199433
"824","mouse",0,0.5,19.3,0
"825","agouti",0,3.01,2309.12,0
"826","agouti",0,1.1,2309.12,0
"827","agouti",0,1.43,2309.12,0
"828","agouti",0,2.8,2309.12,0
"829","paca",0,1.89,8172.55,0
"830","ocelot",0,2.23,11880,0
"831","paca",0,0.47,8172.55,0
"832","armadillo",0,0.61,3949.01,0
"833","armadillo",0,2.1,3949.01,0
"834","agouti",-1,1.5,2309.12,0.0174532925199433
"835","opossum",-1,2.63,1134.75,0.0174532925199433
"836","squirrel",-3,2.7,545.4,0.0523598775598299
"837","agouti",-4,0.97,2309.12,0.0698131700797732
"838","agouti",-4,1.04,2309.12,0.0698131700797732
"839","agouti",-4,1.25,2309.12,0.0698131700797732
"840","tamandua",-5,1.54,4800,0.0872664625997165
"841","tamandua",-5,1.42,4800,0.0872664625997165
"842","paca",-5,2.01,8172.55,0.0872664625997165
"843","agouti",-5,2.7,2309.12,0.0872664625997165
"844","rat",-6,1.12,282.17,0.10471975511966
"845","agouti",-6,1.7,2309.12,0.10471975511966
"846","agouti",-6,0.68,2309.12,0.10471975511966
"847","agouti",-7,2.85,2309.12,0.122173047639603
"848","peccary",-7,4.1,21133.69,0.122173047639603
"849","brocket",-8,1.45,20546.86,0.139626340159546
"850","agouti",-9,1.71,2309.12,0.15707963267949
"851","paca",-10,2.5,8172.55,0.174532925199433
"852","paca",-12,3.4,8172.55,0.20943951023932
"853","tamandua",-15,1.27,4800,0.261799387799149
"854","agouti",-15,0.62,2309.12,0.261799387799149
"855","squirrel",-15,1.24,545.4,0.261799387799149
"856","ocelot",-15,1.05,11880,0.261799387799149
"857","brocket",-17,3.65,20546.86,0.296705972839036
"858","paca",-19,2.8,8172.55,0.331612557878923
"859","agouti",-21,3.41,2309.12,0.366519142918809
"860","brocket",-22,3.1,20546.86,0.383972435438752
"861","agouti",-22,3.48,2309.12,0.383972435438752
"862","agouti",-23,0.53,2309.12,0.401425727958696
"863","rat",-27,0.88,282.17,0.471238898038469
"864","agouti",-30,1.21,2309.12,0.523598775598299
"865","agouti",-35,1.43,2309.12,0.610865238198015
"894","agouti",41,1.5,2309.12,0.715584993317675
"895","ocelot",38,2.21,11880,0.663225115757845
"896","brocket",36,1.43,20546.86,0.628318530717959
"897","peccary",36,3.15,21133.69,0.628318530717959
"898","agouti",34,2.15,2309.12,0.593411945678072
"899","agouti",31,2.58,2309.12,0.541052068118242
"900","ocelot",27,1.59,11880,0.471238898038469
"901","agouti",25,1.31,2309.12,0.436332312998582
"902","rat",24,2.23,282.17,0.418879020478639
"903","agouti",23,0.96,2309.12,0.401425727958696
"904","ocelot",23,2.05,11880,0.401425727958696
"905","ocelot",23,2.37,11880,0.401425727958696
"906","agouti",18,1.98,2309.12,0.314159265358979
"907","agouti",17,1.87,2309.12,0.296705972839036
"908","squirrel",17,0.92,545.4,0.296705972839036
"909","agouti",16,2.08,2309.12,0.279252680319093
"910","agouti",16,1.28,2309.12,0.279252680319093
"911","agouti",16,1.62,2309.12,0.279252680319093
"912","agouti",15,3.02,2309.12,0.261799387799149
"913","armadillo",15,2.29,3949.01,0.261799387799149
"914","rat",13,1.23,282.17,0.226892802759263
"915","rat",11,0.84,282.17,0.191986217719376
"916","agouti",9,1.62,2309.12,0.15707963267949
"917","agouti",8,1.01,2309.12,0.139626340159546
"918","brocket",8,2.61,20546.86,0.139626340159546
"919","agouti",7,3.3,2309.12,0.122173047639603
"920","agouti",6,3.21,2309.12,0.10471975511966
"921","paca",5,3.8,8172.55,0.0872664625997165
"922","agouti",5,2.1,2309.12,0.0872664625997165
"923","tamandua",4,1.63,4800,0.0698131700797732
"924","agouti",4,3.4,2309.12,0.0698131700797732
"925","squirrel",4,3.15,545.4,0.0698131700797732
"926","opossum",3,1.2,1134.75,0.0523598775598299
"927","paca",3,3.32,8172.55,0.0523598775598299
"928","brocket",3,3.92,20546.86,0.0523598775598299
"929","armadillo",2,2.1,3949.01,0.0349065850398866
"930","agouti",2,2,2309.12,0.0349065850398866
"931","agouti",1,3.58,2309.12,0.0174532925199433
"932","agouti",1,1.46,2309.12,0.0174532925199433
"933","mouse",0,0.79,19.3,0
"934","agouti",0,0.96,2309.12,0
"935","rat",0,0.93,282.17,0
"936","agouti",0,0.72,2309.12,0
"937","agouti",0,0.95,2309.12,0
"938","ocelot",0,2.6,11880,0
"939","agouti",0,3.92,2309.12,0
"940","peccary",0,2.61,21133.69,0
"941","agouti",0,6.1,2309.12,0
"942","agouti",-1,0.63,2309.12,0.0174532925199433
"943","brocket",-1,1.25,20546.86,0.0174532925199433
"944","agouti",-2,3.01,2309.12,0.0349065850398866
"945","rat",-2,1.76,282.17,0.0349065850398866
"946","agouti",-2,2.37,2309.12,0.0349065850398866
"947","squirrel",-3,1.34,545.4,0.0523598775598299
"948","paca",-3,1.25,8172.55,0.0523598775598299
"949","agouti",-3,1.58,2309.12,0.0523598775598299
"950","peccary",-3,3.9,21133.69,0.0523598775598299
"951","ocelot",-4,5.6,11880,0.0698131700797732
"952","paca",-4,2.26,8172.55,0.0698131700797732
"953","squirrel",-5,0.78,545.4,0.0872664625997165
"954","agouti",-5,4.1,2309.12,0.0872664625997165
"955","agouti",-5,4.12,2309.12,0.0872664625997165
"956","coati",-5,4.35,3775.5,0.0872664625997165
"957","agouti",-6,0.92,2309.12,0.10471975511966
"958","agouti",-7,2.37,2309.12,0.122173047639603
"959","paca",-8,4.4,8172.55,0.139626340159546
"960","agouti",-8,0.85,2309.12,0.139626340159546
"961","agouti",-9,1.94,2309.12,0.15707963267949
"962","agouti",-9,1.1,2309.12,0.15707963267949
"963","squirrel",-9,2.74,545.4,0.15707963267949
"964","paca",-9,2.71,8172.55,0.15707963267949
"965","agouti",-10,2.1,2309.12,0.174532925199433
"966","rat",-12,0.68,282.17,0.20943951023932
"967","paca",-13,1.67,8172.55,0.226892802759263
"968","agouti",-14,2.31,2309.12,0.244346095279206
"969","agouti",-15,1.97,2309.12,0.261799387799149
"970","agouti",-15,3.61,2309.12,0.261799387799149
"971","mouse",-16,1.56,19.3,0.279252680319093
"972","agouti",-16,2.48,2309.12,0.279252680319093
"973","agouti",-19,1.25,2309.12,0.331612557878923
"974","agouti",-19,1.84,2309.12,0.331612557878923
"975","agouti",-21,2.24,2309.12,0.366519142918809
"976","coati",-22,1.02,3775.5,0.383972435438752
"977","paca",-23,3.3,8172.55,0.401425727958696
"978","agouti",-24,3.52,2309.12,0.418879020478639
"979","agouti",-25,2.67,2309.12,0.436332312998582
"980","ocelot",-31,0,11880,0.541052068118242
"981","agouti",-34,3.2,2309.12,0.593411945678072
"1011","ocelot",38,1.49,11880,0.663225115757845
"1012","peccary",37,5.78,21133.69,0.645771823237902
"1013","agouti",34,2.1,2309.12,0.593411945678072
"1014","agouti",33,5.83,2309.12,0.575958653158129
"1015","agouti",32,1.7,2309.12,0.558505360638185
"1016","agouti",30,3.28,2309.12,0.523598775598299
"1019","agouti",27,1.87,2309.12,0.471238898038469
"1020","agouti",26,0.64,2309.12,0.453785605518526
"1021","paca",23,3.85,8172.55,0.401425727958696
"1022","agouti",23,1.61,2309.12,0.401425727958696
"1023","agouti",22,2.63,2309.12,0.383972435438752
"1024","squirrel",22,3.1,545.4,0.383972435438752
"1025","mouse",21,1.15,19.3,0.366519142918809
"1026","agouti",18,2.22,2309.12,0.314159265358979
"1027","paca",18,1.81,8172.55,0.314159265358979
"1028","agouti",13,1.5,2309.12,0.226892802759263
"1029","peccary",12,3.42,21133.69,0.20943951023932
"1030","agouti",6,1.75,2309.12,0.10471975511966
"1031","rat",5,0.51,282.17,0.0872664625997165
"1032","opossum",4,0.98,1134.75,0.0698131700797732
"1033","paca",4,1.1,8172.55,0.0698131700797732
"1034","opossum",4,2.85,1134.75,0.0698131700797732
"1035","peccary",2,0.81,21133.69,0.0349065850398866
"1036","agouti",2,0.97,2309.12,0.0349065850398866
"1037","mouse",1,0.75,19.3,0.0174532925199433
"1038","rat",1,0.88,282.17,0.0174532925199433
"1039","rat",0,0.7,282.17,0
"1040","rat",0,0.9,282.17,0
"1041","agouti",0,2.53,2309.12,0
"1042","agouti",0,1.74,2309.12,0
"1043","coati",0,0.9,3775.5,0
"1044","agouti",0,2.03,2309.12,0
"1045","brocket",0,2,20546.86,0
"1046","paca",0,2.34,8172.55,0
"1047","brocket",0,2.3,20546.86,0
"1048","brocket",0,6.1,20546.86,0
"1049","agouti",-1,1.95,2309.12,0.0174532925199433
"1050","squirrel",-2,2.43,545.4,0.0349065850398866
"1051","agouti",-2,1.56,2309.12,0.0349065850398866
"1052","agouti",-3,0.7,2309.12,0.0523598775598299
"1053","agouti",-4,2,2309.12,0.0698131700797732
"1054","rat",-5,4.1,282.17,0.0872664625997165
"1055","paca",-6,2.95,8172.55,0.10471975511966
"1056","mouse",-7,2.14,19.3,0.122173047639603
"1057","peccary",-8,3.6,21133.69,0.139626340159546
"1058","paca",-10,2.78,8172.55,0.174532925199433
"1059","paca",-11,4.21,8172.55,0.191986217719376
"1060","agouti",-11,1.34,2309.12,0.191986217719376
"1061","ocelot",-11,1.1,11880,0.191986217719376
"1062","paca",-12,1.4,8172.55,0.20943951023932
"1063","paca",-12,1.9,8172.55,0.20943951023932
"1064","tamandua",-12,2.27,4800,0.20943951023932
"1065","paca",-14,2.36,8172.55,0.244346095279206
"1066","agouti",-16,1.58,2309.12,0.279252680319093
"1067","rat",-17,0.71,282.17,0.296705972839036
"1068","mouse",-17,1.81,19.3,0.296705972839036
"1069","peccary",-17,2.48,21133.69,0.296705972839036
"1070","paca",-17,3.18,8172.55,0.296705972839036
"1071","peccary",-18,2.26,21133.69,0.314159265358979
"1072","ocelot",-18,0.87,11880,0.314159265358979
"1073","paca",-18,0.52,8172.55,0.314159265358979
"1074","brocket",-18,2.7,20546.86,0.314159265358979
"1075","agouti",-19,1.74,2309.12,0.331612557878923
"1076","agouti",-21,5.8,2309.12,0.366519142918809
"1077","paca",-22,2.6,8172.55,0.383972435438752
"1078","brocket",-22,1.94,20546.86,0.383972435438752
"1079","rat",-23,0.82,282.17,0.401425727958696
"1080","brocket",-24,6.25,20546.86,0.418879020478639
"1081","agouti",-25,1.24,2309.12,0.436332312998582
"1082","agouti",-25,0.78,2309.12,0.436332312998582
"1083","agouti",-25,2.16,2309.12,0.436332312998582
"1084","agouti",-27,1.93,2309.12,0.471238898038469
"1085","paca",-33,1.78,8172.55,0.575958653158129
"1308","ocelot",40,0.65,11880,0.698131700797732
"1309","rat",39,0.42,282.17,0.680678408277788
"1310","agouti",38,0.87,2309.12,0.663225115757845
"1311","agouti",37,3.6,2309.12,0.645771823237902
"1312","rat",35,0.63,282.17,0.610865238198015
"1313","rat",34,0.82,282.17,0.593411945678072
"1314","agouti",31,0.97,2309.12,0.541052068118242
"1315","peccary",29,4.43,21133.69,0.506145483078356
"1316","peccary",28,1.61,21133.69,0.488692190558412
"1317","agouti",28,3.32,2309.12,0.488692190558412
"1318","paca",28,0.94,8172.55,0.488692190558412
"1319","agouti",28,1.22,2309.12,0.488692190558412
"1320","peccary",27,1.38,21133.69,0.471238898038469
"1321","agouti",27,1.1,2309.12,0.471238898038469
"1322","rat",27,2.24,282.17,0.471238898038469
"1323","mouse",26,1.34,19.3,0.453785605518526
"1324","agouti",26,2.15,2309.12,0.453785605518526
"1325","agouti",26,2.1,2309.12,0.453785605518526
"1326","agouti",24,2.32,2309.12,0.418879020478639
"1327","agouti",24,1.45,2309.12,0.418879020478639
"1328","agouti",24,1.58,2309.12,0.418879020478639
"1329","agouti",23,0.92,2309.12,0.401425727958696
"1330","agouti",23,0.65,2309.12,0.401425727958696
"1331","tamandua",23,1.64,4800,0.401425727958696
"1332","armadillo",23,2.25,3949.01,0.401425727958696
"1333","agouti",23,1.39,2309.12,0.401425727958696
"1334","rat",22,1.87,282.17,0.383972435438752
"1335","agouti",22,1.48,2309.12,0.383972435438752
"1336","paca",21,2.04,8172.55,0.366519142918809
"1337","agouti",20,1.21,2309.12,0.349065850398866
"1338","agouti",20,3.41,2309.12,0.349065850398866
"1339","agouti",20,1.2,2309.12,0.349065850398866
"1340","paca",20,0.84,8172.55,0.349065850398866
"1341","brocket",20,4.88,20546.86,0.349065850398866
"1342","peccary",18,3.2,21133.69,0.314159265358979
"1343","coati",18,2.38,3775.5,0.314159265358979
"1344","agouti",18,4.1,2309.12,0.314159265358979
"1345","paca",17,1.74,8172.55,0.296705972839036
"1346","agouti",17,2.68,2309.12,0.296705972839036
"1347","agouti",16,0.93,2309.12,0.279252680319093
"1348","agouti",16,1.6,2309.12,0.279252680319093
"1349","agouti",16,1.73,2309.12,0.279252680319093
"1350","agouti",16,2.5,2309.12,0.279252680319093
"1351","agouti",16,2.5,2309.12,0.279252680319093
"1352","brocket",16,1.2,20546.86,0.279252680319093
"1353","agouti",15,1.25,2309.12,0.261799387799149
"1354","peccary",15,0.4,21133.69,0.261799387799149
"1355","agouti",15,1.3,2309.12,0.261799387799149
"1356","agouti",14,1.63,2309.12,0.244346095279206
"1357","agouti",14,1.44,2309.12,0.244346095279206
"1358","agouti",14,4.85,2309.12,0.244346095279206
"1359","coati",14,4.1,3775.5,0.244346095279206
"1360","peccary",14,4.3,21133.69,0.244346095279206
"1361","agouti",13,2.24,2309.12,0.226892802759263
"1362","mouse",12,1.39,19.3,0.20943951023932
"1363","paca",12,0.6,8172.55,0.20943951023932
"1364","peccary",12,4.38,21133.69,0.20943951023932
"1365","coati",12,1.95,3775.5,0.20943951023932
"1366","agouti",12,2.05,2309.12,0.20943951023932
"1367","brocket",12,3.05,20546.86,0.20943951023932
"1368","agouti",12,1.1,2309.12,0.20943951023932
"1369","brocket",12,0.68,20546.86,0.20943951023932
"1370","rat",11,0.84,282.17,0.191986217719376
"1371","agouti",11,1.42,2309.12,0.191986217719376
"1372","paca",11,2.18,8172.55,0.191986217719376
"1373","agouti",11,4,2309.12,0.191986217719376
"1374","agouti",11,3.65,2309.12,0.191986217719376
"1375","rat",10,2,282.17,0.174532925199433
"1376","squirrel",10,1.4,545.4,0.174532925199433
"1377","agouti",10,2.87,2309.12,0.174532925199433
"1378","peccary",10,0.82,21133.69,0.174532925199433
"1379","agouti",10,3.3,2309.12,0.174532925199433
"1380","agouti",10,3.82,2309.12,0.174532925199433
"1381","agouti",9,1.65,2309.12,0.15707963267949
"1382","peccary",9,2.8,21133.69,0.15707963267949
"1383","agouti",9,4.4,2309.12,0.15707963267949
"1384","agouti",8,2.6,2309.12,0.139626340159546
"1385","rat",8,0.58,282.17,0.139626340159546
"1386","agouti",8,2.4,2309.12,0.139626340159546
"1387","agouti",8,2.2,2309.12,0.139626340159546
"1388","agouti",8,1.66,2309.12,0.139626340159546
"1389","armadillo",8,2.43,3949.01,0.139626340159546
"1390","rat",8,1.8,282.17,0.139626340159546
"1391","agouti",8,1.54,2309.12,0.139626340159546
"1392","peccary",8,2.29,21133.69,0.139626340159546
"1393","ocelot",8,3.15,11880,0.139626340159546
"1394","rat",7,2.3,282.17,0.122173047639603
"1395","agouti",7,2.7,2309.12,0.122173047639603
"1396","rat",7,0.87,282.17,0.122173047639603
"1397","agouti",7,3.13,2309.12,0.122173047639603
"1398","agouti",7,2.73,2309.12,0.122173047639603
"1399","peccary",7,3.3,21133.69,0.122173047639603
"1400","mouse",7,1.76,19.3,0.122173047639603
"1401","brocket",7,4.43,20546.86,0.122173047639603
"1402","agouti",7,2.1,2309.12,0.122173047639603
"1403","rat",7,0.74,282.17,0.122173047639603
"1404","ocelot",7,4.1,11880,0.122173047639603
"1406","agouti",6,1.08,2309.12,0.10471975511966
"1407","rat",6,0.46,282.17,0.10471975511966
"1408","rat",6,2.4,282.17,0.10471975511966
"1409","agouti",6,2.57,2309.12,0.10471975511966
"1410","paca",6,1.06,8172.55,0.10471975511966
"1411","agouti",5,2.77,2309.12,0.0872664625997165
"1412","paca",5,3.1,8172.55,0.0872664625997165
"1413","agouti",5,1.9,2309.12,0.0872664625997165
"1414","rat",4,1.15,282.17,0.0698131700797732
"1415","rat",4,1.52,282.17,0.0698131700797732
"1416","agouti",4,2.88,2309.12,0.0698131700797732
"1417","rat",4,1.32,282.17,0.0698131700797732
"1418","tamandua",4,0.84,4800,0.0698131700797732
"1419","agouti",4,2.08,2309.12,0.0698131700797732
"1420","ocelot",4,1.82,11880,0.0698131700797732
"1421","mouse",3,0.89,19.3,0.0523598775598299
"1422","peccary",3,5.1,21133.69,0.0523598775598299
"1423","mouse",3,0.64,19.3,0.0523598775598299
"1425","ocelot",3,1.57,11880,0.0523598775598299
"1426","agouti",3,2.71,2309.12,0.0523598775598299
"1427","agouti",3,1.21,2309.12,0.0523598775598299
"1428","agouti",3,1.19,2309.12,0.0523598775598299
"1429","agouti",3,2.74,2309.12,0.0523598775598299
"1430","agouti",3,6.4,2309.12,0.0523598775598299
"1431","agouti",2,3.2,2309.12,0.0349065850398866
"1432","mouse",2,0.18,19.3,0.0349065850398866
"1433","squirrel",2,1.34,545.4,0.0349065850398866
"1434","agouti",2,2.91,2309.12,0.0349065850398866
"1435","opossum",2,2.9,1134.75,0.0349065850398866
"1436","paca",2,1.75,8172.55,0.0349065850398866
"1437","agouti",2,1.38,2309.12,0.0349065850398866
"1438","agouti",2,1.4,2309.12,0.0349065850398866
"1439","ocelot",2,1.6,11880,0.0349065850398866
"1440","paca",1.5,12,8172.55,0.0261799387799149
"1441","peccary",1,5.4,21133.69,0.0174532925199433
"1442","agouti",1,1.54,2309.12,0.0174532925199433
"1443","ocelot",1,1.6,11880,0.0174532925199433
"1444","agouti",0,0,2309.12,0
"1445","agouti",0,2.6,2309.12,0
"1446","agouti",0,2.26,2309.12,0
"1447","agouti",0,3.34,2309.12,0
"1449","agouti",0,2.28,2309.12,0
"1450","rat",0,0.33,282.17,0
"1451","agouti",0,2.65,2309.12,0
"1452","agouti",0,1.4,2309.12,0
"1453","ocelot",0,0.88,11880,0
"1454","agouti",0,0.96,2309.12,0
"1455","rat",0,2.5,282.17,0
"1456","agouti",0,2.41,2309.12,0
"1457","mouse",0,1.32,19.3,0
"1458","opossum",0,2.88,1134.75,0
"1459","rat",0,1.6,282.17,0
"1460","opossum",0,1.8,1134.75,0
"1461","agouti",0,1.35,2309.12,0
"1463","agouti",0,1.46,2309.12,0
"1464","paca",0,1.99,8172.55,0
"1465","rat",0,0.7,282.17,0
"1466","agouti",0,1.29,2309.12,0
"1467","tamandua",0,0.83,4800,0
"1468","agouti",0,3.8,2309.12,0
"1469","agouti",0,2.62,2309.12,0
"1470","agouti",0,1.5,2309.12,0
"1471","agouti",0,1.86,2309.12,0
"1472","agouti",0,0.68,2309.12,0
"1473","agouti",0,3.6,2309.12,0
"1474","coati",0,5.4,3775.5,0
"1475","paca",0,4.4,8172.55,0
"1476","agouti",0,5.9,2309.12,0
"1477","brocket",0,1.1,20546.86,0
"1478","brocket",0,3.3,20546.86,0
"1479","tamandua",0,0.83,4800,0
"1480","agouti",0,4.5,2309.12,0
"1482","mouse",-1,0.82,19.3,0.0174532925199433
"1483","mouse",-1,1.28,19.3,0.0174532925199433
"1484","agouti",-1,2,2309.12,0.0174532925199433
"1485","agouti",-1,2.38,2309.12,0.0174532925199433
"1486","agouti",-1,4.34,2309.12,0.0174532925199433
"1487","agouti",-2,1.26,2309.12,0.0349065850398866
"1488","agouti",-2,1.52,2309.12,0.0349065850398866
"1489","agouti",-2,0.76,2309.12,0.0349065850398866
"1490","armadillo",-2,0.73,3949.01,0.0349065850398866
"1491","agouti",-2,1.07,2309.12,0.0349065850398866
"1492","agouti",-3,1.85,2309.12,0.0523598775598299
"1493","agouti",-3,2.01,2309.12,0.0523598775598299
"1494","paca",-3,3.8,8172.55,0.0523598775598299
"1495","peccary",-3,5,21133.69,0.0523598775598299
"1496","agouti",-3,1.12,2309.12,0.0523598775598299
"1497","ocelot",-3,0.64,11880,0.0523598775598299
"1498","agouti",-3,3.12,2309.12,0.0523598775598299
"1499","peccary",-3,7,21133.69,0.0523598775598299
"1500","rat",-3,4.1,282.17,0.0523598775598299
"1501","rat",-4,0.9,282.17,0.0698131700797732
"1502","rat",-4,1.04,282.17,0.0698131700797732
"1504","rat",-4,0.68,282.17,0.0698131700797732
"1505","tamandua",-4,2,4800,0.0698131700797732
"1506","coati",-4,1.1,3775.5,0.0698131700797732
"1507","ocelot",-4,4.38,11880,0.0698131700797732
"1508","brocket",-5,4.7,20546.86,0.0872664625997165
"1509","agouti",-5,6.1,2309.12,0.0872664625997165
"1510","mouse",-5,1.37,19.3,0.0872664625997165
"1511","opossum",-5,2.1,1134.75,0.0872664625997165
"1512","agouti",-5,2.61,2309.12,0.0872664625997165
"1513","agouti",-5,1.72,2309.12,0.0872664625997165
"1514","peccary",-5,5,21133.69,0.0872664625997165
"1515","agouti",-6,5.3,2309.12,0.10471975511966
"1516","mouse",-6,1.68,19.3,0.10471975511966
"1517","rat",-6,1.3,282.17,0.10471975511966
"1519","armadillo",-6,1.32,3949.01,0.10471975511966
"1520","paca",-6,1.84,8172.55,0.10471975511966
"1521","rat",-7,1.02,282.17,0.122173047639603
"1522","agouti",-7,0.41,2309.12,0.122173047639603
"1523","agouti",-7,2.73,2309.12,0.122173047639603
"1524","tamandua",-7,1.4,4800,0.122173047639603
"1525","agouti",-7,1.8,2309.12,0.122173047639603
"1526","armadillo",-7,2.31,3949.01,0.122173047639603
"1527","ocelot",-7,1.58,11880,0.122173047639603
"1528","agouti",-8,0.46,2309.12,0.139626340159546
"1529","peccary",-8,4.16,21133.69,0.139626340159546
"1530","agouti",-8,3.56,2309.12,0.139626340159546
"1531","brocket",-10,2.35,20546.86,0.174532925199433
"1532","rat",-10,0.81,282.17,0.174532925199433
"1533","agouti",-10,1.4,2309.12,0.174532925199433
"1534","ocelot",-10,1.3,11880,0.174532925199433
"1535","agouti",-10,2.83,2309.12,0.174532925199433
"1536","agouti",-10,3.6,2309.12,0.174532925199433
"1537","agouti",-10,2.7,2309.12,0.174532925199433
"1538","agouti",-11,4.38,2309.12,0.191986217719376
"1539","rat",-11,2.5,282.17,0.191986217719376
"1540","rat",-11,1.22,282.17,0.191986217719376
"1541","agouti",-11,2.4,2309.12,0.191986217719376
"1542","agouti",-11,2.18,2309.12,0.191986217719376
"1543","peccary",-12,1,21133.69,0.20943951023932
"1544","agouti",-12,3,2309.12,0.20943951023932
"1545","agouti",-12,2.8,2309.12,0.20943951023932
"1546","opossum",-12,2.2,1134.75,0.20943951023932
"1547","agouti",-12,1.71,2309.12,0.20943951023932
"1548","squirrel",-12,1.8,545.4,0.20943951023932
"1549","agouti",-12,2,2309.12,0.20943951023932
"1550","agouti",-13,0.98,2309.12,0.226892802759263
"1551","agouti",-13,2.31,2309.12,0.226892802759263
"1552","agouti",-13,2.36,2309.12,0.226892802759263
"1553","agouti",-14,4.37,2309.12,0.244346095279206
"1554","ocelot",-14,1.67,11880,0.244346095279206
"1555","rat",-15,1.56,282.17,0.261799387799149
"1556","agouti",-15,4.12,2309.12,0.261799387799149
"1557","coati",-15,2.05,3775.5,0.261799387799149
"1558","ocelot",-15,1.25,11880,0.261799387799149
"1559","agouti",-16,5.62,2309.12,0.279252680319093
"1560","mouse",-16,1.42,19.3,0.279252680319093
"1561","mouse",-16,0.89,19.3,0.279252680319093
"1562","mouse",-16,1.21,19.3,0.279252680319093
"1563","agouti",-16,2.41,2309.12,0.279252680319093
"1564","agouti",-16,1.2,2309.12,0.279252680319093
"1565","paca",-16,3.85,8172.55,0.279252680319093
"1566","brocket",-16,3.24,20546.86,0.279252680319093
"1567","agouti",-16,0.65,2309.12,0.279252680319093
"1568","agouti",-17,1.23,2309.12,0.296705972839036
"1569","agouti",-17,2.65,2309.12,0.296705972839036
"1570","agouti",-18,1.43,2309.12,0.314159265358979
"1571","agouti",-18,2.26,2309.12,0.314159265358979
"1572","mouse",-19,0.54,19.3,0.331612557878923
"1573","coati",-19,3.48,3775.5,0.331612557878923
"1574","agouti",-20,0.82,2309.12,0.349065850398866
"1575","peccary",-20,2.05,21133.69,0.349065850398866
"1576","agouti",-20,0.88,2309.12,0.349065850398866
"1577","agouti",-20,2.44,2309.12,0.349065850398866
"1578","agouti",-21,0.93,2309.12,0.366519142918809
"1579","rat",-21,1.01,282.17,0.366519142918809
"1580","agouti",-21,1.82,2309.12,0.366519142918809
"1581","agouti",-21,3.41,2309.12,0.366519142918809
"1582","agouti",-22,5.45,2309.12,0.383972435438752
"1583","opossum",-23,1.58,1134.75,0.401425727958696
"1584","agouti",-23,2.46,2309.12,0.401425727958696
"1585","agouti",-23,1.94,2309.12,0.401425727958696
"1586","agouti",-23,1.36,2309.12,0.401425727958696
"1587","agouti",-24,1.26,2309.12,0.418879020478639
"1588","armadillo",-24,1.3,3949.01,0.418879020478639
"1589","ocelot",-24,0.94,11880,0.418879020478639
"1590","ocelot",-24,1.15,11880,0.418879020478639
"1591","opossum",-25,0.81,1134.75,0.436332312998582
"1592","rat",-25,1.23,282.17,0.436332312998582
"1593","peccary",-26,1.64,21133.69,0.453785605518526
"1594","squirrel",-26,0.81,545.4,0.453785605518526
"1595","ocelot",-26,0.68,11880,0.453785605518526
"1596","agouti",-26,5.25,2309.12,0.453785605518526
"1597","agouti",-27,0.73,2309.12,0.471238898038469
"1598","agouti",-27,0.91,2309.12,0.471238898038469
"1599","rat",-27,1.52,282.17,0.471238898038469
"1600","paca",-27,1.47,8172.55,0.471238898038469
"1601","agouti",-28,1.76,2309.12,0.488692190558412
"1602","agouti",-28,0.59,2309.12,0.488692190558412
