"","species","speed"
"212","Fox",1.21087223352777
"213","Fox",0.145180778703313
"214","Fox",0.027814956883173
"215","Fox",1.11231708622533
"216","Fox",0.00537734099047368
"217","Fox",0.798904832760927
"218","Fox",0.889921286653447
"219","Fox",0.423890211492375
"220","Fox",0.266401274121036
"221","Fox",0.812430050713236
"222","Fox",0.123145042465208
"223","Fox",0.803373569765249
"224","Fox",0.677200622327855
"225","Fox",1.19483213670784
"226","Fox",2.72704494409284
"227","Fox",1.35864787417537
"228","Fox",1.57184490488855
"229","Fox",1.71822524435377
"230","Fox",0.316979552262415
"231","Fox",0.275104222825571
"232","Fox",1.26601580701647
"233","Fox",1.14288285710628
"234","Fox",0.399441161087023
"235","Fox",0.261997408445655
"236","Fox",2.00687495910693
"237","Fox",0.0786014313700002
"238","Fox",0.706815290155024
"239","Fox",0.606252535718065
"240","Fox",0.124350393440257
"241","Fox",0.808330585059921
"242","Fox",0.365600551920683
"243","Fox",0.423871597050523
"244","Fox",0.30991548335051
"245","Fox",1.13034281249774
"246","Fox",0.372043719184407
"247","Fox",1.33004857370614
"248","Fox",0.00194345040333534
"249","Fox",0.230435311764187
"250","Fox",0.294838071524076
"251","Fox",0.0573500357942734
"252","Fox",0.402765387252261
"253","Fox",0.871452253063195
"254","Fox",0.705908531966297
"255","Fox",0.0238997597153016
"256","Fox",0.272493498370368
"257","Fox",0.494830619042835
"258","Fox",0.278433168939697
"259","Fox",0.55943446305255
"260","Fox",0.306846653263805
"261","Fox",0.199302908341322
"262","Fox",0.67729719540409
"263","Fox",0.532954562566439
"264","Fox",0.299652036781144
"265","Fox",0.514031278029212
"266","Fox",1.28046797008084
"267","Fox",0.603465438661801
"268","Fox",0.407298557326659
"269","Fox",0.0324417383388248
"270","Fox",0.256847333348796
"271","Fox",0.240348328979575
"272","Fox",1.14536210364604
"273","Fox",0.330940702566206
"274","Fox",1.00705543104794
"275","Fox",0.0273022519976823
"276","Fox",0.842170484707473
"277","Fox",0.603091375081858
"278","Fox",0.364873898369597
"279","Fox",0.374672948561843
"280","Fox",0.281977015350368
"281","Fox",0.296450673216895
"282","Fox",0.105878639487876
"283","Fox",0.154954631613401
"284","Fox",0.297809875308825
"285","Fox",0.416379166423923
"286","Fox",0.330733230973641
"287","Fox",0.244853615614214
"288","Fox",0.379310841440768
"289","Fox",0.151269741253761
"290","Fox",0.143610960698178
"291","Fox",0.347601445834939
"292","Fox",0.0981369894345666
"293","Fox",0.392182871409385
"294","Fox",0.400475914153499
"295","Fox",0.495906316928557
"296","Fox",0.116740323967219
"297","Fox",0.952332004644786
"298","Fox",0.524966598968622
"299","Fox",1.38659533980845
"300","Fox",0.349181182026249
"301","Fox",0.0718467832873682
"302","Fox",0.388848625070996
"303","Fox",0.703801894232806
