"X.2","X.1","X","id","camid","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","species","label","note","height","position","siteid","imgid","ImageWidth","ImageHeight","deployment","radius","angle","frame_count","deg","pixdiff","dist","timediff","time","speed","frames"
1254,1370,2842,2842,"CAM_50090","MathuAkru-2015-07-21_16-51-37-CAM50090.jpg",1077.728588,1143.677431,322,71,10,"2015:07:21 16:51:37","takin","movement","",NA,NA,"MAK_18","MAK_18 322",2048,1536,"MAK_18",3.46310692320439,0.026303952882323,33,1.50721650015711,10287.5336693544,54.5139745069866,2890795,2890795,1.88577794367939e-05,41
1264,1380,2852,2852,"CAM_50090","MathuAkru-2015-07-21_16-51-41-CAM50090.jpg",2014.920139,1103.223032,326,72,6,"2015:07:21 16:51:41","takin","movement","",NA,NA,"MAK_18","MAK_18 326",2048,1536,"MAK_18",4.37674530362613,0.485125658734991,6,27.797700245515,9569.91743623377,56.5743390871374,2867152,2867152,1.97318939097534e-05,40
1270,1386,2858,2858,"CAM_50090","MathuAkru-2015-07-21_06-55-56-CAM50090.jpg",835.0024306,1103.223032,312,73,10,"2015:07:21 06:55:56","takin","movement","",NA,NA,"MAK_18","MAK_18 312",2048,1536,"MAK_18",4.15840190859733,-0.0925277090916882,12,-5.30183773095373,8399.87751412895,41.9032559843827,2835032,2835032,1.47805231067525e-05,37
1280,1396,2868,2868,"CAM_50090","MathuAkru-2015-07-14_12-24-56-CAM50090.jpg",406.8609954,1039.17037,266,74,10,"2015:07:14 12:24:56","takin","movement","",NA,NA,"MAK_18","MAK_18 266",2048,1536,"MAK_18",6.07984957060745,-0.302133294454753,22,-17.3122377722573,7742.27050079138,38.5433625248179,3694971,3694971,1.04313031211389e-05,33
1290,1406,2878,2878,"CAM_50090","MathuAkru-2015-07-14_16-06-57-CAM50090.jpg",1097.521869,2328.617037,276,75,6,"2015:07:14 16:06:57","takin","movement","",NA,NA,"MAK_18","MAK_18 276",2048,1536,"MAK_18",0.563370271433251,0.0359941671647191,32,2.0624657785384,6864.83584813682,29.9525839864777,4500858,4500858,6.65486091462509e-06,21
1296,1412,2884,2884,"CAM_50090","MathuAkru-2015-07-17_09-15-56-CAM50090.jpg",1154.955995,1105.300041,286,76,10,"2015:07:17 09:15:56","takin","movement","",NA,NA,"MAK_18","MAK_18 286",2048,1536,"MAK_18",4.16962976477403,0.064112243599957,38,3.67363155827753,4414.72037016132,7.2597679881819,4604367,4604367,1.57671358260145e-06,16
9012,9322,6454,6454,"H600EE1114191","IMG_0382.JPG",-210.0674769,1214.051042,381,77,9,"2015:09:08 23:00:18","takin","movement","",NA,NA,"MAK_50","MAK_50 381",2048,1536,"MAK_50",4.5216208645718,-0.455426062598684,21,-26.0959133869046,4218.71851248645,7.3518648848271,4062642,4062642,1.80962656439507e-06,13
9021,9331,6463,6463,"H600EE1114191","IMG_0421.JPG",2113.395449,1538.64878,420,78,6,"2015:09:23 10:25:14","himalayan black bear","movement","",NA,NA,"MAK_50","MAK_50 420",2048,1536,"MAK_50",2.42416455427974,0.402035617369405,8,23.0366408752669,3674.98058098048,12.2368283563135,5187390,5187390,2.35895669234693e-06,13
9507,9891,9577,9577,"H600HF09165526","IMG_0322.JPG",-30.3703715,946.1699141,321,79,7,"2015:07:26 04:31:54","takin","movement","",NA,NA,"MAK_12","MAK_12 321",1920,1080,"MAK_12",5.14543133506322,-0.365527553911853,5,-20.9447288391492,1942.82562646522,3.52254412415018,4,4,0.880636031037544,7
9514,9898,9584,9584,"H600HF09165526","IMG_0381.JPG",640.7169454,662.1287557,380,80,24,"2015:07:31 04:45:45","takin","movement","",NA,NA,"MAK_12","MAK_12 380",1920,1080,"MAK_12",8.80410388892478,-0.117841524051936,2,-6.75231932817596,1301.5015303771,5.11649804856185,23,23,0.222456436893993,24
9538,9922,9608,9608,"H600HF09165526","IMG_0411.JPG",1152.004406,629.2630496,410,81,12,"2015:07:31 04:46:52","takin","movement","",NA,NA,"MAK_12","MAK_12 410",1920,1080,"MAK_12",9.02013993899424,0.0708653074497577,6,4.06058211687112,1142.75465176558,4.6573305505691,8,8,0.582166318821138,12
9550,9934,9620,9620,"H600HF09165526","IMG_0431.JPG",70.96296183,789.6296387,430,82,19,"2015:07:31 04:48:41","takin","movement","",NA,NA,"MAK_12","MAK_12 430",1920,1080,"MAK_12",6.86178313972542,-0.328127277684133,5,-18.8016930113008,817.971486815251,2.93748885767008,14,14,0.20982063269072,19
9569,9953,9639,9639,"H600HF09165526","IMG_0451.JPG",373.1085611,779.3103571,450,83,18,"2015:07:31 04:49:11","takin young","movement","",NA,NA,"MAK_12","MAK_12 450",1920,1080,"MAK_12",6.80068948695216,-0.216610874321703,4,-12.4118030986336,1509.83336573567,4.16466576659204,14,14,0.297476126185146,18
9587,9971,9657,9657,"H600HF09165526","IMG_0551.JPG",217.6296387,776.2963053,550,84,10,"2015:08:04 04:34:19","takin","movement","",NA,NA,"MAK_12","MAK_12 550",1920,1080,"MAK_12",6.95880229461684,-0.273995295165842,2,-15.6999304130028,1697.98270638779,4.43596245582809,7,7,0.633708922261155,10
9597,9981,9667,9667,"H600HF09165526","IMG_0571.JPG",996.2963053,768.2963053,570,85,9,"2015:08:04 05:40:24","takin","movement","",NA,NA,"MAK_12","MAK_12 570",1920,1080,"MAK_12",6.53445310447615,0.0133963010951674,2,0.767608052753093,2069.08733974529,9.81040323522644,4348367,4348367,2.25611206120055e-06,10
9606,9990,9676,9676,"H600HF09165526","IMG_0581.JPG",566.962972,701.6296387,580,86,52,"2015:08:04 10:39:31","takin","movement","",NA,NA,"MAK_12","MAK_12 580",1920,1080,"MAK_12",7.99270990535707,-0.145062763967818,1,-8.31209637535595,2301.42431251533,6.64880479909315,4323260,4323260,1.53791462902836e-06,54
9658,10042,9728,9728,"H600HF09165526","IMG_0641.JPG",-90.45274,1076.824,640,87,4,"2015:08:04 10:41:35","takin","movement","",NA,NA,"MAK_12","MAK_12 640",1920,1080,"MAK_12",4.24998331592473,-0.387702855014381,3,-22.215373592324,3977.76242748275,16.1482787375859,3800110,3800110,4.24942402656393e-06,14
