"","X","species","speed","category","size","Body_mass_g"
"62",62,"Hedgehog",0.0565560451641305,"SS","small",777.95
"63",63,"Hedgehog",0.0745588407720762,"SS","small",777.95
"64",64,"Fox",0.365600551920683,"LF","large",4820.36
"65",65,"Fox",0.423871597050523,"LF","large",4820.36
"66",66,"Fox",0.30991548335051,"LF","large",4820.36
"67",67,"Fox",1.13034281249774,"LF","large",4820.36
"68",68,"Hedgehog",0.393677562456855,"SS","small",777.95
"69",69,"Hedgehog",0.227494430623829,"SS","small",777.95
"70",70,"Fox",0.372043719184407,"LF","large",4820.36
"71",71,"Fox",1.33004857370614,"LF","large",4820.36
"72",72,"Hedgehog",0.014582848235849,"SS","small",777.95
"73",73,"Fox",0.00194345040333534,"LF","large",4820.36
"74",74,"Fox",0.230435311764187,"LF","large",4820.36
"75",75,"Fox",0.294838071524076,"LF","large",4820.36
"76",76,"Fox",0.0573500357942734,"LF","large",4820.36
"77",77,"Fox",0.402765387252261,"LF","large",4820.36
"78",78,"Fox",0.871452253063195,"LF","large",4820.36
"79",79,"Fox",0.705908531966297,"LF","large",4820.36
"80",80,"Fox",0.0238997597153016,"LF","large",4820.36
"81",81,"Fox",0.272493498370368,"LF","large",4820.36
"82",82,"Fox",0.494830619042835,"LF","large",4820.36
"83",83,"Fox",0.278433168939697,"LF","large",4820.36
"84",84,"Fox",0.55943446305255,"LF","large",4820.36
"85",85,"Fox",0.306846653263805,"LF","large",4820.36
"86",86,"Fox",0.199302908341322,"LF","large",4820.36
"87",87,"Fox",0.67729719540409,"LF","large",4820.36
"88",88,"Fox",0.532954562566439,"LF","large",4820.36
"89",89,"Fox",0.299652036781144,"LF","large",4820.36
"90",90,"Fox",0.514031278029212,"LF","large",4820.36
"91",91,"Fox",1.28046797008084,"LF","large",4820.36
"92",92,"Fox",0.603465438661801,"LF","large",4820.36
"93",93,"Fox",0.407298557326659,"LF","large",4820.36
"94",94,"Fox",0.0324417383388248,"LF","large",4820.36
"95",95,"Fox",0.256847333348796,"LF","large",4820.36
"96",96,"Fox",0.240348328979575,"LF","large",4820.36
"97",97,"Fox",1.14536210364604,"LF","large",4820.36
"98",98,"Fox",0.330940702566206,"LF","large",4820.36
"99",99,"Fox",1.00705543104794,"LF","large",4820.36
"100",100,"Fox",0.0273022519976823,"LF","large",4820.36
"101",101,"Fox",0.842170484707473,"LF","large",4820.36
"102",102,"Fox",0.603091375081858,"LF","large",4820.36
"103",103,"Fox",0.364873898369597,"LF","large",4820.36
"104",104,"Fox",0.374672948561843,"LF","large",4820.36
"105",105,"Fox",0.281977015350368,"LF","large",4820.36
"106",106,"Fox",0.296450673216895,"LF","large",4820.36
"107",107,"Fox",0.105878639487876,"LF","large",4820.36
"108",108,"Fox",0.154954631613401,"LF","large",4820.36
"109",109,"Fox",0.297809875308825,"LF","large",4820.36
"110",110,"Fox",0.416379166423923,"LF","large",4820.36
"111",111,"Fox",0.330733230973641,"LF","large",4820.36
"112",112,"Fox",0.244853615614214,"LF","large",4820.36
"113",113,"Fox",0.379310841440768,"LF","large",4820.36
"114",114,"Fox",0.151269741253761,"LF","large",4820.36
"115",115,"Fox",0.143610960698178,"LF","large",4820.36
"116",116,"Fox",0.347601445834939,"LF","large",4820.36
"117",117,"Fox",0.0981369894345666,"LF","large",4820.36
"118",118,"Fox",0.392182871409385,"LF","large",4820.36
"119",119,"Fox",0.400475914153499,"LF","large",4820.36
"120",120,"Fox",0.495906316928557,"LF","large",4820.36
"121",121,"Fox",0.116740323967219,"LF","large",4820.36
"122",122,"Fox",0.952332004644786,"LF","large",4820.36
"123",123,"Fox",0.524966598968622,"LF","large",4820.36
"124",124,"Fox",1.38659533980845,"LF","large",4820.36
"125",125,"Fox",0.349181182026249,"LF","large",4820.36
"126",126,"Fox",0.0718467832873682,"LF","large",4820.36
"127",127,"Fox",0.388848625070996,"LF","large",4820.36
"128",128,"Fox",0.703801894232806,"LF","large",4820.36
"129",129,"Fox",0.118516755449428,"LF","large",4820.36
"130",130,"Fox",0.767229235857593,"LF","large",4820.36
"131",131,"Fox",0.296582010712926,"LF","large",4820.36
"132",132,"Fox",0.454217435257521,"LF","large",4820.36
"133",133,"Fox",0.179123251693648,"LF","large",4820.36
"134",134,"Fox",0.310277980273869,"LF","large",4820.36
"135",135,"Fox",0.050131819644788,"LF","large",4820.36
"136",136,"Fox",0.473514523753875,"LF","large",4820.36
"137",137,"Fox",0.686608532481004,"LF","large",4820.36
"138",138,"Fox",0.189282530770029,"LF","large",4820.36
"139",139,"Hedgehog",0.256997543191439,"SS","small",777.95
"140",140,"Hedgehog",0.00293711239832563,"SS","small",777.95
"141",141,"Hedgehog",0.00124923268579572,"SS","small",777.95
"142",142,"Hedgehog",0.30976541831713,"SS","small",777.95
"143",143,"Hedgehog",0.0515861344114581,"SS","small",777.95
"144",144,"Hedgehog",0.235974837981485,"SS","small",777.95
"145",145,"Hedgehog",0.417838566105201,"SS","small",777.95
"146",146,"Hedgehog",0.490203183658603,"SS","small",777.95
"147",147,"Fox",0.386813308735877,"LF","large",4820.36
"148",148,"Hedgehog",0.234713366469427,"SS","small",777.95
"149",149,"Fox",0.0231279319416507,"LF","large",4820.36
"150",150,"Hedgehog",0.0757135722466685,"SS","small",777.95
"151",151,"Hedgehog",0.12247793505468,"SS","small",777.95
"152",152,"Fox",0.667126419710936,"LF","large",4820.36
"153",153,"Fox",0.324444057762488,"LF","large",4820.36
"154",154,"Fox",0.819293892054258,"LF","large",4820.36
"155",155,"Hedgehog",0.208122930077733,"SS","small",777.95
"156",156,"Hedgehog",0.599907238780159,"SS","small",777.95
"157",157,"Hedgehog",0.655874758739266,"SS","small",777.95
"158",158,"Hedgehog",0.0303778324377097,"SS","small",777.95
"159",159,"Hedgehog",1.36521963174862,"SS","small",777.95
"160",160,"Hedgehog",1.27360337694479,"SS","small",777.95
"161",161,"Fox",1.6092929214309,"LF","large",4820.36
"162",162,"Hedgehog",0.270214782006823,"SS","small",777.95
"163",163,"Hedgehog",1.57944120146567,"SS","small",777.95
"164",164,"Fox",3.36752753444947,"LF","large",4820.36
"165",165,"Fox",0.328500177135823,"LF","large",4820.36
"166",166,"Fox",1.64422538386586,"LF","large",4820.36
"167",167,"Fox",0.725739979992636,"LF","large",4820.36
"168",168,"Fox",0.516641124093694,"LF","large",4820.36
"169",169,"Fox",1.59568536505877,"LF","large",4820.36
